%time,field.layout.data_offset,field.data1,field.data0
1747549269128820745,0,0,9
1747549269150011074,0,0,9
1747549269170981599,0,0,9
1747549269191960157,0,0,8
1747549269212863965,0,0,8
1747549269233857502,0,0,8
1747549269254761671,0,0,8
1747549269275774867,0,0,8
1747549269296608700,0,0,8
1747549269317741849,0,0,9
1747549269338518865,0,0,8
1747549269364571722,0,0,9
1747549269385454988,0,0,9
1747549269406440279,0,0,8
1747549269427363879,0,0,8
1747549269448280172,0,0,8
1747549269469378469,0,0,8
1747549269490105221,0,0,8
1747549269511544194,0,0,9
1747549269532503021,0,0,9
1747549269553182987,0,0,8
1747549269574172983,0,0,9
1747549269595233476,0,0,8
1747549269616097470,0,0,9
1747549269637058275,0,0,8
1747549269658009507,0,0,8
1747549269678894822,0,0,9
1747549269703831262,0,0,8
1747549269724997365,0,0,8
1747549269745693454,0,0,8
1747549269766876035,0,0,9
1747549269787750240,0,0,8
1747549269808892562,0,0,9
1747549269829856063,0,0,9
1747549269850757811,0,0,8
1747549269871857759,0,0,9
1747549269892676741,0,0,9
1747549269913909970,0,0,9
1747549269935732400,0,0,9
1747549269956661648,0,0,8
1747549269977453788,0,0,9
1747549269998105638,0,0,9
1747549270024332623,0,0,9
1747549270045217513,0,0,8
1747549270066397377,0,0,9
1747549270087446418,0,0,8
1747549270108358183,0,0,9
1747549270129467937,0,0,9
1747549270151100675,0,0,9
1747549270172321206,0,0,8
1747549270193011257,0,0,8
1747549270214300064,0,0,8
1747549270235168895,0,0,8
1747549270256180789,0,0,9
1747549270277072735,0,0,8
1747549270298135929,0,0,8
1747549270319876012,0,0,8
1747549270345773766,0,0,8
1747549270367078591,0,0,8
1747549270388835018,0,0,8
1747549270410075440,0,0,9
1747549270431624336,0,0,9
1747549270452455697,0,0,9
1747549270473564738,0,0,8
1747549270494475611,0,0,8
1747549270515347720,0,0,8
1747549270536582855,0,0,9
1747549270557257519,0,0,9
1747549270578219526,0,0,8
1747549270604219140,0,0,9
1747549270625112185,0,0,9
1747549270646054892,0,0,8
1747549270667110589,0,0,9
1747549270688249657,0,0,9
1747549270709070446,0,0,9
1747549270730341962,0,0,8
1747549270751298466,0,0,8
1747549270771963863,0,0,9
1747549270793048154,0,0,9
1747549270813807149,0,0,8
1747549270834982144,0,0,9
1747549270856033638,0,0,9
1747549270876832156,0,0,9
1747549270897533078,0,0,9
1747549270918744156,0,0,9
1747549270944223795,0,0,9
1747549270965530717,0,0,9
1747549270986613140,0,0,8
1747549271007695134,0,0,8
1747549271028417152,0,0,8
1747549271049440454,0,0,8
1747549271070233628,0,0,10
1747549271091444974,0,0,9
1747549271112391012,0,0,8
1747549271133302354,0,0,8
1747549271154379880,0,0,9
1747549271175400423,0,0,9
1747549271196295233,0,0,8
1747549271217250369,0,0,8
1747549271238070838,0,0,8
1747549271264130996,0,0,8
1747549271285123726,0,0,8
1747549271306154185,0,0,8
1747549271327040357,0,0,8
1747549271347977444,0,0,8
1747549271369045520,0,0,9
1747549271389995624,0,0,9
1747549271410978798,0,0,9
1747549271431827834,0,0,8
1747549271452851793,0,0,9
1747549271473753942,0,0,8
1747549271494780085,0,0,8
1747549271515707877,0,0,8
1747549271536616956,0,0,8
1747549271557523626,0,0,8
1747549271578394888,0,0,9
1747549271603318990,0,0,9
1747549271624281809,0,0,8
1747549271645317746,0,0,9
1747549271666275822,0,0,9
1747549271687544647,0,0,9
1747549271708356293,0,0,8
1747549271729523769,0,0,9
1747549271750279741,0,0,8
1747549271771227394,0,0,8
1747549271792306986,0,0,9
1747549271813267167,0,0,9
1747549271834145802,0,0,9
1747549271855076608,0,0,9
1747549271875830364,0,0,8
1747549271896672960,0,0,9
1747549271917953038,0,0,8
1747549271938878490,0,0,9
1747549271963744570,0,0,8
1747549271984755716,0,0,9
1747549272005797393,0,0,8
1747549272026682551,0,0,9
1747549272047675136,0,0,9
1747549272068440027,0,0,8
1747549272089696188,0,0,9
1747549272110800983,0,0,8
1747549272131759698,0,0,8
1747549272152505181,0,0,8
1747549272173551934,0,0,8
1747549272194430574,0,0,8
1747549272215327204,0,0,9
1747549272236313775,0,0,8
1747549272257310873,0,0,9
1747549272278199260,0,0,8
1747549272303132398,0,0,9
1747549272324210197,0,0,8
1747549272344994926,0,0,8
1747549272366106604,0,0,8
1747549272387157016,0,0,8
1747549272408260497,0,0,9
1747549272429021480,0,0,9
1747549272449940629,0,0,8
1747549272470860268,0,0,8
1747549272491888988,0,0,8
1747549272512802877,0,0,9
1747549272533769330,0,0,9
1747549272554760256,0,0,9
1747549272575702172,0,0,8
1747549272596544211,0,0,8
1747549272617699907,0,0,9
1747549272638678967,0,0,9
1747549272663535344,0,0,9
1747549272684467247,0,0,9
1747549272705557054,0,0,8
1747549272726450600,0,0,8
1747549272747401689,0,0,8
1747549272768339950,0,0,8
1747549272789263260,0,0,9
1747549272810202656,0,0,8
1747549272831246363,0,0,8
1747549272852135588,0,0,9
1747549272873272576,0,0,9
1747549272894111317,0,0,8
1747549272915181984,0,0,8
1747549272935956408,0,0,8
1747549272956778845,0,0,8
1747549272977876507,0,0,9
1747549272998757466,0,0,8
1747549273023778279,0,0,9
1747549273044769189,0,0,9
1747549273065919714,0,0,9
1747549273086922480,0,0,9
1747549273107973191,0,0,8
1747549273128760480,0,0,8
1747549273149449010,0,0,9
1747549273170599762,0,0,8
1747549273191656717,0,0,9
1747549273212603412,0,0,8
1747549273233618158,0,0,8
1747549273254567838,0,0,8
1747549273275491768,0,0,8
1747549273296424305,0,0,9
1747549273317393019,0,0,9
1747549273338112828,0,0,8
1747549273363098079,0,0,9
1747549273384181011,0,0,8
1747549273405024109,0,0,8
