%time,field.layout.data_offset,field.data0
1749437657484046362,0,291
1749437657484067391,0,292
1749437657484146731,0,292
1749437657484209193,0,293
1749437657484225546,0,293
1749437657488017459,0,292
1749437657488029134,0,291
1749437657488050496,0,291
1749437657488061529,0,292
1749437657488103453,0,292
1749437657488130732,0,292
1749437657488157679,0,293
1749437657488352462,0,291
1749437657488372135,0,293
1749437657488386971,0,293
1749437657488558667,0,292
1749437657488758751,0,292
1749437657488806777,0,292
1749437657488878104,0,292
1749437657488894366,0,292
1749437657488955033,0,291
1749437657491842276,0,292
1749437657491860480,0,292
1749437657491877472,0,291
1749437657491893699,0,292
1749437657491917341,0,292
1749437657491937798,0,289
1749437657492016088,0,292
1749437657492027750,0,292
1749437657492043400,0,292
1749437657492058154,0,292
1749437657492083822,0,292
1749437657492105029,0,292
1749437657492172576,0,293
1749437657492184241,0,293
1749437657492199861,0,293
1749437657492213661,0,293
1749437657495956399,0,292
1749437657495992313,0,292
1749437657496009456,0,292
1749437657496034191,0,292
1749437657496207719,0,292
1749437657496225401,0,293
1749437657496235122,0,292
1749437657496256835,0,292
1749437657496268834,0,293
1749437657496284467,0,292
1749437657496293725,0,292
1749437657496461902,0,292
1749437657496651075,0,292
1749437657496670336,0,291
1749437657496681720,0,293
1749437657496692511,0,292
1749437657500248606,0,292
1749437657500266175,0,291
1749437657500274585,0,291
1749437657500299355,0,292
1749437657500368731,0,293
1749437657500382644,0,292
1749437657500394418,0,291
1749437657500465545,0,292
1749437657500482060,0,291
1749437657500495231,0,292
1749437657500520720,0,294
1749437657500532569,0,292
1749437657500539245,0,293
1749437657500546983,0,292
1749437657500563416,0,292
1749437657500570550,0,292
1749437657504312545,0,292
1749437657504331641,0,292
1749437657504344241,0,292
1749437657504355582,0,292
1749437657504365016,0,292
1749437657504381626,0,293
1749437657504625201,0,292
1749437657504641736,0,292
1749437657504652190,0,295
1749437657504662999,0,291
1749437657504683957,0,292
1749437657504688384,0,292
1749437657504819033,0,292
1749437657504836006,0,292
1749437657504847523,0,292
1749437657504865257,0,292
1749437657508341135,0,292
1749437657508368725,0,292
1749437657508381082,0,290
1749437657508393833,0,291
1749437657508405235,0,292
1749437657508444869,0,292
1749437657508479779,0,293
1749437657508621775,0,292
1749437657508633403,0,292
1749437657508683633,0,291
1749437657508861786,0,293
1749437657508891703,0,293
1749437657508903168,0,292
1749437657508932856,0,290
1749437657508971896,0,292
1749437657509002218,0,292
1749437657512328051,0,292
1749437657512344271,0,292
1749437657512354327,0,292
1749437657512374378,0,291
1749437657512382861,0,291
1749437657512514469,0,292
1749437657512521288,0,292
1749437657512654698,0,292
1749437657512665822,0,291
1749437657512873761,0,293
1749437657512896878,0,292
1749437657512911100,0,293
1749437657512921478,0,292
1749437657512930619,0,292
1749437657512943964,0,293
1749437657513104369,0,292
1749437657516564155,0,292
1749437657516589810,0,292
1749437657516614423,0,292
1749437657516634426,0,293
1749437657516645092,0,292
1749437657516692383,0,290
1749437657516790202,0,292
1749437657516806409,0,292
