%time,field.layout.data_offset,field.data2,field.data1,field.data0,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1748222733419214824,0,222,0,445,227,220,0,313,502,612,686,682,486
1748222733521559089,0,221,0,445,229,219,0,315,503,613,685,684,488
1748222733620026485,0,222,0,445,228,219,0,315,503,612,685,684,487
1748222733718513486,0,221,0,444,229,218,0,315,504,613,685,684,487
1748222733820537465,0,220,0,446,229,218,0,313,503,613,685,685,487
1748222733919647182,0,221,0,443,231,219,0,315,504,614,686,685,487
1748222734021202914,0,221,0,445,229,220,0,314,503,613,685,686,486
1748222734119823258,0,221,0,445,229,218,0,314,503,614,686,685,488
1748222734217815149,0,222,0,445,230,218,0,314,502,614,686,686,489
1748222734320896448,0,221,0,444,228,219,0,314,503,614,686,685,488
1748222734419379758,0,222,0,444,228,220,0,315,503,613,687,685,488
1748222734521480084,0,221,0,445,230,219,0,309,499,613,686,686,488
1748222734620327528,0,219,0,444,229,219,0,313,502,613,686,687,487
1748222734722213182,0,222,0,446,226,220,0,315,503,613,687,687,487
1748222734820673233,0,221,0,444,214,219,0,314,503,612,687,687,489
1748222734918816920,0,221,0,444,228,220,0,315,503,614,688,685,489
1748222735021593809,0,220,0,443,228,220,0,315,503,614,688,686,489
1748222735119265044,0,221,0,444,229,219,0,315,505,615,688,686,489
1748222735221407473,0,221,0,444,229,220,0,315,504,614,688,687,489
1748222735319875888,0,222,0,444,230,219,0,315,504,614,687,686,490
1748222735418384814,0,221,0,444,230,220,2,315,503,615,688,686,490
1748222735520455441,0,220,0,444,228,220,0,315,503,615,688,686,489
1748222735618735837,0,221,0,445,227,219,0,315,503,614,687,686,488
1748222735721317367,0,221,0,445,229,218,0,315,504,614,687,687,488
1748222735819237590,0,220,0,443,228,219,0,315,504,614,686,686,488
1748222735917840423,0,221,0,446,228,219,0,315,504,614,687,686,488
1748222736020401268,0,221,0,445,229,219,0,315,504,614,687,686,488
1748222736119207663,0,223,0,442,229,218,0,314,504,615,687,686,488
1748222736220704255,0,221,0,444,229,219,0,315,504,614,688,687,488
1748222736319262978,0,220,0,447,227,220,0,317,505,615,687,687,488
1748222736421736697,0,221,0,447,228,220,0,315,504,614,687,685,487
1748222736520393390,0,221,0,450,229,219,0,316,505,614,687,686,487
1748222736618755290,0,221,0,449,230,219,0,316,505,615,687,687,489
1748222736720479923,0,222,0,451,229,217,0,315,505,615,686,687,488
1748222736819228015,0,221,0,449,227,221,0,314,504,614,686,686,487
1748222736921915618,0,221,0,459,230,219,0,314,503,614,686,686,487
1748222737019988729,0,221,1,453,228,220,0,316,504,614,688,686,487
1748222737117985003,0,221,0,455,229,220,1,315,504,613,686,685,489
1748222737220259196,0,221,0,456,229,219,0,314,504,613,686,686,487
1748222737319148473,0,221,0,456,229,214,0,315,504,613,686,686,487
1748222737421155046,0,221,0,458,229,218,0,314,504,614,686,685,487
1748222737519210780,0,221,2,462,228,219,3,314,503,614,686,686,487
1748222737621859267,0,221,0,459,230,219,1,313,503,614,686,685,488
1748222737720080254,0,221,0,460,228,219,0,314,503,613,687,685,486
1748222737819033072,0,222,0,460,229,218,0,310,500,612,686,685,487
1748222737921074770,0,221,0,462,228,219,0,313,503,613,687,686,487
1748222738018891653,0,222,0,462,228,219,0,314,503,613,686,685,488
1748222738121575829,0,221,0,463,228,219,2,314,503,614,686,685,488
