%time,opos,force
1754277424741152265,-1,1.1782887901723536
1754277424743271890,-3,1.1782887901723536
1754277424745170442,-6,1.1782887901723536
1754277424747172847,-8,1.1782887901723536
1754277424749161494,-11,1.1782887901723536
1754277424751193185,-15,2.0751369999895943
1754277424753193602,-18,2.0751369999895943
1754277424755142763,-22,2.3086418109923375
1754277424757144722,-26,2.3086418109923375
1754277424759175008,-29,4.19143533006027
1754277424761137566,-33,4.19143533006027
1754277424763118344,-37,4.544466660952918
1754277424765125288,-40,4.544466660952918
1754277424767149790,-45,5.4316555430494216
1754277424769120593,-49,5.4316555430494216
1754277424770386854,-50,7.038977202860166
1754277424772159853,-55,7.077923998536315
1754277424774199979,-59,6.2640143027462205
1754277424776151786,-63,6.03048428775445
1754277424778033091,-66,6.03048428775445
1754277424780158751,-70,8.40531161954908
1754277424782103925,-75,8.40531161954908
1754277424784121467,-78,9.109941378460176
1754277424786088592,-82,9.109941378460176
1754277424788133337,-86,10.56633619715319
1754277424790091726,-89,10.56633619715319
1754277424792027262,-93,11.403509646879945
1754277424794071998,-97,11.403509646879945
1754277424796070849,-101,12.141793946856769
1754277424798042242,-104,12.141793946856769
1754277424800093324,-107,12.141793946856769
1754277424802074215,-110,12.141793946856769
1754277424804044468,-113,12.485559668602324
1754277424806109735,-116,12.485559668602324
1754277424808061502,-118,13.138072800540437
1754277424810118048,-121,13.138072800540437
1754277424812041477,-124,13.138072800540437
1754277424814034999,-126,13.138072800540437
1754277424816017797,-129,13.707981018375563
1754277424818009840,-131,13.707981018375563
1754277424820088860,-133,13.368960546211985
1754277424822008088,-136,13.138072800540437
1754277424824047753,-138,13.585975035471348
1754277424826012720,-140,14.086229646100866
1754277424827986454,-141,13.947979525544705
1754277424830032468,-143,13.707981018375563
1754277424832034835,-145,13.819152467961146
1754277424834058023,-147,13.950596138274287
1754277424836013003,-149,13.950596138274287
1754277424838045192,-150,13.950596138274287
1754277424840009667,-152,13.863404361052769
1754277424842020874,-154,13.707981018375563
1754277424844003531,-155,13.707981018375563
1754277424846029884,-157,13.707981018375563
1754277424847965627,-159,13.707981018375563
1754277424849981522,-160,13.707981018375563
1754277424851971226,-162,13.409922030807047
1754277424853982667,-164,12.947946361889548
1754277424855959209,-165,12.947946361889548
1754277424857976017,-167,12.947946361889548
1754277424859975954,-168,12.947946361889548
1754277424862025857,-169,12.141793946856769
1754277424863981794,-171,12.141793946856769
1754277424866030330,-171,12.485559668602324
1754277424868026331,-174,12.485559668602324
1754277424870035071,-175,12.141793946856769
1754277424872029846,-177,12.141793946856769
1754277424873974602,-179,11.856674553497367
1754277424875935705,-180,11.856674553497367
1754277424877930865,-181,11.752578056651858
1754277424879933661,-182,11.752578056651858
1754277424881929503,-185,11.403509646879945
1754277424883916712,-186,11.403509646879945
1754277424886047200,-186,11.074482951994074
1754277424888055585,-189,11.074482951994074
1754277424890139318,-190,11.074482951994074
1754277424892055453,-191,11.074482951994074
1754277424894125868,-193,10.56633619715319
1754277424895920951,-193,10.56633619715319
1754277424897904611,-194,11.403509646879945
1754277424899883553,-195,11.403509646879945
1754277424901889191,-196,10.56633619715319
1754277424903898723,-197,10.56633619715319
1754277424905874446,-198,10.482049156162603
1754277424907947968,-198,9.430274806225789
1754277424909929799,-199,9.430274806225789
1754277424911910087,-200,9.430274806225789
1754277424913916955,-200,9.353210523341694
1754277424915827744,-201,9.109941378460176
1754277424917814874,-201,9.109941378460176
1754277424919942419,-201,9.109941378460176
1754277424921849156,-202,9.068916065494921
1754277424923805101,-202,8.40531161954908
1754277424925762208,-202,8.40531161954908
1754277424927818214,-202,8.40531161954908
1754277424929778374,-202,8.40531161954908
1754277424931861773,-202,7.522838330064473
1754277424933821221,-202,7.522838330064473
1754277424935831966,-201,7.522838330064473
1754277424937803029,-201,7.505875271352762
1754277424939814530,-201,7.077923998536315
1754277424941838241,-201,7.123970479746118
1754277424943814041,-201,7.700304673520091
1754277424945843100,-201,7.700304673520091
1754277424947919678,-201,7.077923998536315
1754277424949886263,-201,7.077923998536315
1754277424951864107,-201,6.548152252643634
1754277424953870627,-201,6.548152252643634
1754277424955911902,-201,6.548152252643634
1754277424957839998,-201,6.548152252643634
1754277424959824669,-201,6.548152252643634
1754277424961860200,-201,6.548152252643634
1754277424963837525,-201,6.03048428775445
1754277424965820543,-201,6.03048428775445
1754277424967869155,-201,5.602998113861438
1754277424969905465,-201,5.602998113861438
1754277424971889204,-202,5.602998113861438
1754277424973890014,-202,5.602998113861438
1754277424975777754,-202,5.602998113861438
1754277424977823369,-202,5.602998113861438
1754277424979750838,-203,5.602998113861438
1754277424981739938,-203,5.602998113861438
1754277424983807953,-204,5.602998113861438
1754277424985802098,-205,5.602998113861438
1754277424987792788,-205,6.548152252643634
1754277424989791617,-206,6.548152252643634
1754277424991797495,-207,6.548152252643634
1754277424993808949,-207,6.548152252643634
1754277424995820036,-208,6.548152252643634
1754277424997795154,-209,6.548152252643634
1754277424999772609,-210,6.548152252643634
1754277425001806573,-211,7.077923998536315
1754277425003810716,-212,7.045504776671273
1754277425005796044,-213,6.03048428775445
1754277425007823694,-214,6.122233511234249
1754277425009840997,-216,7.522838330064473
1754277425011808503,-217,7.522838330064473
1754277425013811908,-219,7.522838330064473
1754277425015839811,-220,7.537428254312231
1754277425017816009,-222,7.700304673520091
1754277425019798485,-223,7.730211812275503
1754277425021796110,-225,8.850629446613645
1754277425023761670,-226,8.850629446613645
1754277425025812273,-228,9.109941378460176
1754277425027735264,-230,9.109941378460176
1754277425029628256,-232,9.430274806225789
1754277425031643186,-234,9.430274806225789
1754277425033614371,-236,9.430274806225789
1754277425035644216,-238,9.430274806225789
1754277425037632273,-240,10.56633619715319
1754277425039681371,-242,10.56633619715319
