%time,field.layout.data_offset,field.data2,field.data1,field.data0,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1748223989875411024,0,222,0,446,228,219,0,315,505,616,691,689,495
1748223989977772768,0,221,0,446,229,220,0,315,505,617,692,690,493
1748223990076224227,0,221,0,446,228,218,0,315,508,616,692,691,495
1748223990175205831,0,220,0,446,228,218,0,313,504,616,691,691,494
1748223990277053659,0,221,0,448,230,220,0,314,504,616,692,690,494
1748223990375323708,0,220,0,445,229,218,0,315,505,617,692,690,495
1748223990477423689,0,221,2,446,228,218,0,310,500,615,691,691,495
1748223990576134133,0,221,0,446,229,218,0,315,505,616,692,691,494
1748223990678478566,0,220,0,447,229,218,0,313,506,618,693,693,495
1748223990777168522,0,222,0,445,228,219,0,316,504,615,692,691,495
1748223990875401441,0,220,0,446,230,220,0,317,506,618,692,691,494
1748223990977474075,0,221,0,446,230,218,0,316,505,618,692,693,496
1748223991076343210,0,221,0,447,228,220,0,316,505,616,691,692,496
1748223991178162227,0,220,0,444,228,222,0,316,506,619,692,690,495
1748223991276940694,0,222,0,445,228,219,0,315,507,617,693,693,496
1748223991375231887,0,221,0,447,229,218,0,316,506,616,692,691,495
1748223991477882987,0,221,0,445,231,219,0,315,506,617,692,690,494
1748223991575854848,0,220,0,446,223,218,0,315,505,617,692,691,495
1748223991677616756,0,221,0,446,227,219,0,315,505,617,692,690,495
1748223991775686139,0,222,0,446,229,218,0,315,505,617,691,690,494
1748223991877992332,0,222,1,446,228,219,0,314,504,617,692,690,494
1748223991976419837,0,221,0,446,228,218,0,316,504,615,690,689,494
1748223992075139105,0,220,0,446,229,221,0,315,506,617,691,689,493
1748223992177337425,0,221,0,446,228,219,0,314,505,616,692,690,494
1748223992275366442,0,220,0,445,227,219,0,315,506,616,691,690,495
1748223992377796071,0,222,0,446,229,219,0,315,505,616,691,690,493
1748223992476671855,0,221,0,445,229,219,0,314,505,616,692,691,494
1748223992575038297,0,219,0,445,228,217,2,315,505,616,690,690,495
1748223992676930184,0,221,0,445,228,221,0,315,505,617,692,690,494
1748223992775464812,0,223,0,447,228,218,0,315,505,616,691,690,495
1748223992877264720,0,220,0,447,228,219,0,315,506,616,691,690,494
1748223992976323145,0,221,0,446,229,219,4,316,505,618,692,691,494
1748223993077864689,0,221,0,445,229,219,0,315,504,617,691,690,494
1748223993176701747,0,221,0,445,228,213,0,315,505,617,691,690,494
1748223993275160344,0,221,0,445,223,225,0,314,505,618,692,690,493
1748223993377557238,0,220,0,445,228,217,0,315,505,616,691,691,495
1748223993475859261,0,223,0,446,230,220,0,316,505,616,691,690,494
1748223993577787396,0,220,0,445,228,218,0,317,506,618,692,691,494
1748223993676529408,0,221,0,446,229,217,0,316,506,617,692,689,495
1748223993775235830,0,221,0,446,228,219,0,315,506,618,692,690,495
1748223993877351874,0,221,0,445,229,220,0,314,504,617,692,691,495
1748223993975492697,0,220,0,446,227,219,0,315,505,616,691,690,494
1748223994077738716,0,222,0,446,228,220,0,315,505,617,692,691,494
1748223994176528544,0,221,0,448,229,220,0,316,505,617,692,691,495
1748223994275029071,0,223,0,448,228,216,0,317,506,617,691,690,495
1748223994376658246,0,221,0,448,228,220,0,315,504,617,692,690,494
1748223994474829700,0,221,0,445,228,218,0,316,505,616,691,690,495
1748223994577917119,0,221,0,450,229,219,4,315,506,617,692,690,493
1748223994676334328,0,229,0,453,228,221,0,314,505,616,692,691,494
1748223994777878370,0,221,0,453,229,219,0,315,506,617,691,691,493
1748223994876387668,0,221,0,455,229,219,0,312,503,616,691,690,493
1748223994975247557,0,221,0,454,227,219,0,314,503,615,690,690,494
1748223995077544341,0,221,0,454,228,220,0,315,505,617,692,690,494
1748223995176077085,0,219,0,455,230,220,0,315,505,616,693,691,494
1748223995277832110,0,221,0,457,234,218,0,315,505,616,690,690,493
1748223995376408608,0,221,0,458,226,218,0,316,505,618,692,691,493
1748223995475001202,0,221,0,458,229,218,0,315,505,617,691,690,495
1748223995577349489,0,221,0,460,229,218,0,315,505,617,691,690,494
1748223995675498905,0,221,0,461,228,222,0,315,505,617,692,691,494
1748223995777611002,0,221,0,462,229,215,0,315,504,616,691,690,494
1748223995876582879,0,221,0,462,228,219,0,306,499,614,691,690,493
1748223995978720757,0,219,0,465,227,218,1,313,503,614,690,691,495
1748223996077479596,0,220,0,465,227,219,0,313,504,616,690,690,494
1748223996175133998,0,222,0,464,228,221,0,314,504,616,691,691,495
1748223996277413042,0,221,0,465,231,220,0,315,504,615,691,690,494
1748223996375877418,0,220,0,466,227,220,0,316,505,617,692,690,493
1748223996477838098,0,223,0,466,228,218,0,315,506,616,691,690,494
1748223996576251581,0,221,0,466,228,219,0,316,505,616,691,690,494
1748223996674842177,0,220,0,468,228,219,0,315,504,616,692,690,493
1748223996777527278,0,222,0,468,228,219,0,313,503,615,692,691,494
1748223996875518301,0,221,0,469,230,219,0,315,505,616,690,690,494
1748223996977800924,0,222,0,472,229,219,0,315,506,616,691,690,493
1748223997076311162,0,222,0,470,230,219,0,314,504,616,691,692,495
1748223997174643560,0,222,1,468,230,220,0,315,504,617,690,690,493
1748223997276987580,0,221,0,469,228,219,0,316,506,617,692,691,494
1748223997375917446,0,223,0,469,229,218,0,317,505,616,692,691,495
1748223997477583541,0,221,0,470,228,219,0,314,505,616,690,689,495
1748223997575657995,0,220,0,470,227,216,0,315,506,618,691,690,494
1748223997678619593,0,223,0,472,227,219,0,314,504,617,691,691,494
1748223997776680695,0,220,0,473,230,218,0,316,505,616,692,692,495
1748223997875154897,0,222,0,476,228,219,0,315,505,616,691,690,494
1748223997977506652,0,221,0,473,228,219,0,315,505,616,691,691,494
1748223998075846539,0,221,0,473,224,223,0,315,505,617,692,691,494
1748223998178547021,0,222,0,474,229,219,0,315,504,616,691,690,495
1748223998276627923,0,221,0,474,229,219,0,316,506,617,691,690,494
1748223998374910359,0,222,0,474,230,219,0,315,506,617,691,690,493
1748223998477044488,0,212,0,476,228,219,0,314,504,616,691,691,494
1748223998575770794,0,221,0,477,229,220,0,316,505,616,691,690,494
1748223998677868298,0,221,0,476,228,219,0,316,505,617,691,690,494
1748223998776218656,0,220,0,476,229,218,0,315,505,617,691,691,494
1748223998878158266,0,220,0,476,229,219,0,316,505,616,692,691,495
1748223998977324253,0,220,0,478,229,219,0,315,505,617,691,691,495
1748223999075282798,0,221,0,482,229,218,0,315,505,616,690,690,494
1748223999177541523,0,224,0,463,228,220,0,315,505,617,691,691,494
1748223999275995863,0,221,0,479,228,220,0,315,504,616,691,691,494
1748223999378316232,0,221,0,480,230,219,0,315,504,616,691,689,495
1748223999477006978,0,222,0,478,229,219,0,315,504,616,690,689,493
1748223999574980414,0,221,0,478,229,219,0,315,505,617,691,690,493
1748223999677226609,0,221,0,476,228,220,0,314,504,617,692,691,494
1748223999775408815,0,222,0,480,228,218,0,315,505,616,691,691,495
1748223999878192014,0,221,1,480,231,218,0,315,505,615,691,689,494
1748223999976704830,0,222,0,482,230,219,0,316,505,616,689,690,493
1748224000078305451,0,221,0,482,228,221,0,315,505,616,691,691,493
