%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754277410405323556,0,-216,8167,-4035,9821
1754277410407111896,0,-223,8170,-4036,9824
1754277410409230187,0,-222,8171,-4036,9825
1754277410411114082,0,-221,8172,-3997,9826
1754277410413350422,0,-219,8174,-3998,9828
1754277410415109285,0,-244,8174,-4017,9828
1754277410417270513,0,-243,8175,-4018,9829
1754277410419131641,0,-240,8178,-4003,9831
1754277410421195323,0,-239,8180,-4003,9833
1754277410423111358,0,-239,8181,-3975,9834
1754277410425285576,0,-238,8182,-3976,9835
1754277410427109788,0,-242,8184,-3991,9837
1754277410429102609,0,-241,8184,-3992,9837
1754277410431079576,0,-245,8186,-3992,9839
1754277410433236183,0,-244,8186,-3993,9839
1754277410435081412,0,-249,8189,-3978,9842
1754277410437036950,0,-249,8190,-3979,9843
1754277410439038052,0,-251,8191,-3979,9844
1754277410441082807,0,-251,8192,-3979,9845
1754277410443083317,0,-261,8194,-3989,9847
1754277410445100842,0,-261,8195,-3989,9848
1754277410447089735,0,-257,8196,-3976,9849
1754277410449089739,0,-258,8198,-3975,9851
1754277410451155327,0,-261,8199,-3972,9852
1754277410453080960,0,-263,8200,-3972,9853
1754277410455089135,0,-260,8202,-3972,9855
1754277410457050442,0,-261,8203,-3971,9856
1754277410459069728,0,-261,8201,-3965,9857
1754277410461056482,0,-262,8202,-3963,9858
1754277410463053373,0,-260,8204,-3965,9860
1754277410465054389,0,-260,8206,-3964,9862
1754277410467036994,0,-260,8203,-3962,9863
1754277410469002586,0,-261,8204,-3959,9864
1754277410471060164,0,-258,8205,-3957,9865
1754277410473036157,0,-259,8206,-3955,9866
1754277410475062370,0,-278,8191,-3954,9867
1754277410477078855,0,-280,8193,-3951,9869
1754277410479063955,0,-281,8194,-3949,9870
1754277410481027434,0,-254,8195,-3945,9871
1754277410483141468,0,-255,8196,-3943,9872
1754277410485055069,0,-247,8197,-3940,9873
1754277410487152445,0,-247,8198,-3938,9874
1754277410489027612,0,-243,8192,-3946,9875
1754277410491015802,0,-244,8193,-3942,9876
1754277410492997383,0,-225,8196,-3939,9877
1754277410495011549,0,-226,8197,-3936,9878
1754277410497006590,0,-234,8192,-3938,9878
1754277410499046130,0,-234,8193,-3935,9879
1754277410501036163,0,-231,8196,-3941,9879
1754277410503082259,0,-232,8197,-3938,9880
1754277410505005025,0,-233,8184,-3936,9880
1754277410507077221,0,-234,8185,-3934,9881
1754277410509122630,0,-226,8179,-3933,9881
1754277410511057838,0,-226,8179,-3930,9881
1754277410513041045,0,-226,8184,-3930,9881
1754277410515048728,0,-226,8184,-3926,9881
1754277410517034612,0,-216,8184,-3926,9881
1754277410519079484,0,-216,8184,-3923,9881
1754277410521027503,0,-214,8183,-3927,9880
1754277410523017593,0,-214,8183,-3925,9880
1754277410525032875,0,-215,8188,-3923,9880
1754277410527061042,0,-214,8188,-3920,9880
1754277410529079138,0,-211,8188,-3928,9880
1754277410530953921,0,-210,8187,-3926,9879
1754277410532988124,0,-210,8187,-3929,9879
1754277410535029481,0,-210,8187,-3927,9879
1754277410537013741,0,-205,8181,-3927,9878
1754277410539023071,0,-204,8181,-3926,9878
1754277410541033501,0,-212,8191,-3933,9878
1754277410543062871,0,-210,8190,-3932,9877
1754277410545100753,0,-200,8193,-3921,9877
1754277410547080390,0,-199,8192,-3920,9876
1754277410549090492,0,-199,8198,-3918,9875
1754277410551101957,0,-197,8198,-3917,9875
1754277410553105858,0,-196,8193,-3917,9875
1754277410555101410,0,-194,8192,-3916,9874
1754277410557043629,0,-192,8212,-3924,9873
1754277410559152337,0,-190,8212,-3923,9873
1754277410561073629,0,-201,8203,-3923,9873
1754277410563038636,0,-200,8202,-3923,9872
1754277410565068200,0,-198,8202,-3923,9872
