%time,opos,force
1754273625243106667,-1,3.467466230918644
1754273625245020505,-1,3.467466230918644
1754273625247151972,-1,2.289678585500213
1754273625249056814,-1,2.289678585500213
1754273625251133429,-1,2.845205942242218
1754273625253075583,-1,2.845205942242218
1754273625255037434,-1,3.467466230918644
1754273625257044665,-1,3.467466230918644
1754273625258951526,-1,2.845205942242218
1754273625260912503,-1,2.845205942242218
1754273625262890029,-1,3.467466230918644
1754273625264889029,-1,3.467466230918644
1754273625266935086,-1,4.598249059768648
1754273625268915355,-1,4.598249059768648
1754273625270860027,-1,2.845205942242218
1754273625272868630,-1,2.845205942242218
1754273625274868586,-1,2.289678585500213
1754273625276886342,-1,2.289678585500213
1754273625278890734,-1,2.289678585500213
1754273625280898545,-1,2.289678585500213
1754273625282840154,-1,2.289678585500213
1754273625284919699,-1,2.289678585500213
1754273625286834531,-1,2.6992169910791617
1754273625288821208,-1,2.845205942242218
1754273625290900769,-1,2.845205942242218
1754273625292866838,-1,2.007495651994031
1754273625294876562,-1,2.007495651994031
1754273625296878480,-1,2.289678585500213
1754273625298815744,-1,2.289678585500213
1754273625300817333,-1,2.007495651994031
1754273625302826372,-1,2.007495651994031
1754273625304860568,-1,1.9743737918765247
1754273625306840098,-1,1.9743737918765247
1754273625308838908,-1,2.289678585500213
1754273625310826570,-1,2.289678585500213
1754273625312928582,-1,2.845205942242218
1754273625314891135,-1,2.845205942242218
1754273625316873288,-1,2.007495651994031
1754273625318867642,-1,2.007495651994031
1754273625320882584,-1,2.007495651994031
1754273625322902651,-1,2.007495651994031
1754273625324847662,-1,2.007495651994031
1754273625326813875,-1,2.007495651994031
1754273625328827891,-1,2.289678585500213
1754273625330862429,-1,2.289678585500213
1754273625332812910,-1,2.007495651994031
1754273625334847333,-1,2.007495651994031
1754273625336772359,-1,1.9743737918765247
1754273625338887433,-1,1.9743737918765247
1754273625340775573,-1,2.006129294825605
1754273625342761290,-1,2.007495651994031
1754273625344802248,-1,2.007495651994031
1754273625346746935,-1,2.007495651994031
1754273625348769820,-1,2.2588774697629623
1754273625350830883,-1,2.289678585500213
1754273625352740268,-1,2.0570509742242105
1754273625354749303,-1,2.007495651994031
1754273625356801261,-1,1.9765723765927723
1754273625358697862,-1,1.9743737918765247
1754273625360703228,-1,1.9743737918765247
1754273625362787722,-1,1.9743737918765247
1754273625364820641,-1,2.005788682498655
1754273625366802007,-1,2.007495651994031
1754273625368707317,-1,2.007495651994031
1754273625370706309,-1,2.007495651994031
1754273625372787032,-1,1.977405558501716
1754273625374757137,-1,1.9743737918765247
1754273625376747748,-1,1.9743737918765247
1754273625378688968,-1,1.9743737918765247
1754273625380727546,-1,1.9743737918765247
1754273625382695563,-1,2.007495651994031
1754273625384712016,-1,2.007495651994031
1754273625386687816,-1,1.876385822027706
1754273625388722047,-1,1.876385822027706
1754273625390686239,-1,2.007495651994031
1754273625392623546,-1,2.007495651994031
1754273625394680113,-1,2.289678585500213
1754273625396648625,-1,2.289678585500213
1754273625398656119,-1,2.289678585500213
1754273625400646828,-1,2.289678585500213
1754273625402701767,-1,2.007495651994031
1754273625404612465,-1,2.007495651994031
1754273625406637044,-1,2.007495651994031
1754273625408574609,-1,2.007495651994031
1754273625410599302,-1,1.9743737918765247
1754273625412601428,-1,1.9743737918765247
1754273625414527187,-1,2.007495651994031
1754273625416558136,-1,2.007495651994031
1754273625418572119,-1,1.876385822027706
1754273625420542021,-1,1.876385822027706
1754273625422540331,-1,2.007495651994031
1754273625424617892,-1,2.007495651994031
1754273625426578432,-1,2.0632559227888416
1754273625428632013,-1,2.289678585500213
1754273625430551104,-1,2.1557320855760467
1754273625432584140,-1,1.9743737918765247
1754273625434630893,-1,1.9743737918765247
1754273625436557030,-1,1.9743737918765247
1754273625438694898,-1,1.9815867791425876
1754273625440537532,-1,2.007495651994031
1754273625442576549,-1,1.990569667515895
1754273625444510784,-1,1.9743737918765247
1754273625446616726,-1,1.9937302254370712
1754273625448520642,-1,2.007495651994031
1754273625452502535,-1,1.9743737918765247
1754273625454479554,-1,1.9861268954002065
1754273625456473245,-1,2.007495651994031
1754273625458666966,-1,1.984192625848008
1754273639555268862,-2,2.289678585500213
1754273639557343245,-4,2.289678585500213
1754273639559332377,-5,2.289678585500213
1754273639561398340,-6,2.289678585500213
1754273639563267776,-8,2.289678585500213
1754273639565381391,-10,2.289678585500213
1754273639567324609,-12,2.845205942242218
1754273639569335411,-13,2.845205942242218
1754273639571277583,-15,2.845205942242218
1754273639573319288,-17,2.845205942242218
1754273639575302789,-19,2.289678585500213
1754273639577363239,-20,2.289678585500213
1754273639579239037,-22,4.364314440735885
1754273639581356164,-23,4.364314440735885
1754273639583219943,-25,3.467466230918644
1754273639585272846,-27,3.467466230918644
1754273639587344141,-28,3.467466230918644
1754273639589259244,-29,3.467466230918644
1754273639591246836,-31,2.845205942242218
1754273639593249794,-33,2.845205942242218
1754273639595286151,-34,3.467466230918644
1754273639597338273,-36,3.467466230918644
1754273639599331094,-38,2.289678585500213
1754273639601368410,-41,2.289678585500213
1754273639603292050,-43,2.289678585500213
1754273639605242060,-46,4.598249059768648
1754273639607205166,-49,4.598249059768648
1754273639613243827,-58,4.598249059768648
1754273639615260895,-61,4.598249059768648
1754273639836976840,-259,4.928305346942167
1754273639839034265,-259,4.928305346942167
1754273639840993733,-260,5.925877825729511
1754273639842999367,-260,5.925877825729511
1754273639845030445,-260,5.925877825729511
1754273639847031398,-260,4.928305346942167
1754273639849038001,-261,4.928305346942167
1754273639851013742,-261,4.928305346942167
1754273639852989346,-261,4.928305346942167
1754273639854922175,-262,4.928305346942167
1754273639856937066,-262,4.928305346942167
1754273639858964793,-263,4.928305346942167
1754273639861053283,-263,4.928305346942167
1754273639863036986,-264,4.598249059768648
1754273639864919338,-265,4.598249059768648
1754273639866957662,-266,2.845205942242218
1754273639868982185,-267,2.845205942242218
1754273639870962466,-268,4.598249059768648
1754273639872976515,-269,4.598249059768648
1754273639875081716,-270,4.364314440735885
1754273639877022691,-271,4.364314440735885
1754273639878950062,-273,4.928305346942167
1754273639880946597,-274,4.928305346942167
1754273639882978132,-275,1.9743737918765247
1754273639884951560,-277,1.9743737918765247
1754273639886979821,-279,4.928305346942167
1754273639889000302,-280,4.928305346942167
1754273639890935471,-282,5.925877825729511
1754273639892949786,-284,5.925877825729511
1754273640104778968,-447,7.023817180994443
1754273640106767178,-448,7.023817180994443
1754273640124798736,-458,7.023817180994443
1754273640126726146,-459,7.023817180994443
1754273640727133332,-907,9.587065430129496
1754273640729126077,-909,9.587065430129496
1754273645384409261,-3728,26.91777562738296
