%time,field.layout.data_offset,field.data2,field.data1,field.data0,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1748218239969813633,0,221,0,444,232,219,0,311,500,611,687,687,496
1748218240068817642,0,221,0,444,230,220,0,312,501,612,687,687,494
1748218240170826343,0,221,0,440,230,220,0,305,497,610,686,686,495
1748218240269164270,0,221,0,443,229,220,0,309,499,612,687,686,495
1748218240367537065,0,221,0,443,230,221,0,311,500,612,687,686,495
1748218240469756993,0,221,0,444,229,219,0,312,501,611,687,687,495
1748218240567988149,0,221,0,445,230,220,0,311,500,612,687,687,495
1748218240670250930,0,219,0,443,230,219,0,312,499,611,687,686,494
1748218240768432209,0,220,0,444,229,220,0,313,500,611,686,687,496
1748218240867389053,0,221,0,444,230,220,1,311,499,611,687,686,494
1748218240969407239,0,221,0,443,231,217,0,311,498,611,686,685,494
1748218241067910751,0,221,0,443,230,220,0,310,499,611,686,687,495
1748218241169666646,0,221,0,446,229,220,0,314,502,613,687,686,495
1748218241268690435,0,221,0,444,230,220,0,312,500,611,685,685,494
1748218241370682322,0,221,0,444,230,219,0,311,499,611,686,685,495
1748218241469580601,0,218,0,444,229,219,0,313,501,612,687,686,494
1748218241567814611,0,221,0,443,231,221,0,310,499,610,685,685,493
1748218241670053774,0,220,0,445,230,220,0,311,499,610,684,686,494
1748218241768330820,0,220,0,442,230,213,0,310,499,610,686,684,494
1748218241871101830,0,218,0,444,231,216,0,310,499,610,686,685,492
1748218241969465003,0,220,0,442,230,220,3,309,497,609,686,685,493
1748218242067459151,0,219,0,443,211,222,0,309,498,610,685,684,494
1748218242169712706,0,220,0,443,229,221,0,309,498,608,684,683,492
1748218242268439269,0,221,0,443,229,219,0,311,498,609,685,684,493
1748218242370504303,0,221,0,443,229,221,0,310,496,609,684,683,492
1748218242468640666,0,220,0,440,230,221,0,309,496,607,683,683,492
1748218242567278899,0,221,0,443,229,220,0,310,497,607,683,683,493
1748218242669737296,0,221,0,444,229,220,0,309,497,607,682,683,492
1748218242768124651,0,220,0,443,230,221,0,309,496,607,682,681,491
1748218242869986365,0,222,0,443,231,220,0,309,496,606,681,683,491
1748218242968741286,0,221,0,442,227,219,0,310,497,607,681,681,491
1748218243070562569,0,220,0,443,239,217,0,309,496,606,679,680,491
1748218243169169321,0,222,0,443,229,220,0,309,496,606,680,680,490
1748218243267344141,0,221,0,442,228,222,0,308,496,606,679,681,490
1748218243369553496,0,220,0,444,231,220,0,307,495,603,680,679,490
1748218243467892321,0,220,0,443,229,222,0,307,494,604,679,678,490
1748218243570748440,0,220,0,444,230,215,0,307,494,603,680,677,489
1748218243668258928,0,220,0,443,229,218,0,308,494,605,678,677,487
1748218243767420210,0,221,1,441,228,220,0,307,493,603,679,676,488
1748218243869927514,0,220,0,443,230,219,0,308,492,602,677,675,487
1748218243967953707,0,220,0,443,229,220,0,305,490,602,676,676,486
1748218244070290441,0,220,0,446,228,220,0,305,492,602,673,676,486
1748218244168326410,0,222,0,444,230,220,0,303,492,602,673,675,485
1748218244270859464,0,221,0,442,230,220,0,306,490,604,674,676,485
1748218244369175852,0,221,0,442,230,223,0,305,490,600,673,675,485
1748218244467680416,0,220,0,446,232,219,0,305,492,599,674,675,485
1748218244569925655,0,220,0,445,231,220,0,302,491,600,672,674,485
