opos,force
-4141.0,22.083417907939285
-4140.0,22.078176220879435
-4139.0,22.072934533819584
-4138.0,22.067692846759737
-4137.0,22.062451159699886
-4136.0,22.05720947264004
-4135.0,22.05196778558019
-4134.0,22.04672609852034
-4133.0,22.04148441146049
-4132.0,22.03624272440064
-4131.0,22.031001037340793
-4130.0,22.025759350280943
-4129.0,22.020517663221096
-4128.0,22.015275976161245
-4127.0,22.010034289101398
-4126.0,22.004792602041547
-4125.0,21.999550914981697
-4124.0,21.99430922792185
-4123.0,21.989067540862
-4122.0,21.983825853802152
-4121.0,21.9785841667423
-4120.0,21.973342479682454
-4119.0,21.968100792622604
-4118.0,21.962859105562757
-4117.0,21.957617418502906
-4116.0,21.952375731443055
-4115.0,21.94713404438321
-4114.0,21.941892357323358
-4113.0,21.93665067026351
-4112.0,21.93140898320366
-4111.0,21.926167296143813
-4110.0,21.920925609083962
-4109.0,21.91568392202411
-4108.0,21.910442234964265
-4107.0,21.905200547904414
-4106.0,21.899958860844567
-4105.0,21.894717173784716
-4104.0,21.88947548672487
-4103.0,21.88423379966502
-4102.0,21.878992112605168
-4101.0,21.87375042554532
-4100.0,21.86850873848547
-4099.0,21.863267051425623
-4098.0,21.858025364365773
-4097.0,21.852783677305926
-4096.0,21.847541990246075
-4095.0,21.842300303186224
-4094.0,21.837058616126377
-4093.0,21.831816929066527
-4092.0,21.82657524200668
-4091.0,21.82133355494683
-4090.0,21.816091867886982
-4089.0,21.81085018082713
-4088.0,21.80560849376728
-4087.0,21.800366806707434
-4086.0,21.795125119647583
-4085.0,21.789883432587736
-4084.0,21.784641745527885
-4083.0,21.77940005846804
-4082.0,21.774158371408188
-4081.0,21.768916684348337
-4080.0,21.76367499728849
-4079.0,21.75843331022864
-4078.0,21.753191623168792
-4077.0,21.74794993610894
-4076.0,21.742708249049095
-4075.0,21.737466561989244
-4074.0,21.732224874929393
-4073.0,21.726983187869546
-4072.0,21.721741500809696
-4071.0,21.71649981374985
-4070.0,21.711258126689998
-4069.0,21.70601643963015
-4068.0,21.7007747525703
-4067.0,21.695533065510453
-4066.0,21.690291378450603
-4065.0,21.685049691390752
-4064.0,21.679808004330905
-4063.0,21.674566317271054
-4062.0,21.669324630211207
-4061.0,21.664082943151357
-4060.0,21.65884125609151
-4059.0,21.65359956903166
-4058.0,21.64835788197181
-4057.0,21.64311619491196
-4056.0,21.63787450785211
-4055.0,21.632632820792264
-4054.0,21.627391133732413
-4053.0,21.622149446672566
-4052.0,21.616907759612715
-4051.0,21.611666072552865
-4050.0,21.606424385493018
-4049.0,21.601182698433167
-4048.0,21.59594101137332
-4047.0,21.59069932431347
-4046.0,21.585457637253622
-4045.0,21.58021595019377
-4044.0,21.57497426313392
-4043.0,21.569732576074074
-4042.0,21.564490889014223
-4041.0,21.559249201954376
