%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1751438078274542168,0,-3590,-1309,4397,9831,459,-4223,5867,2313
1751438078276292088,0,-3591,-1309,4416,9831,459,-4223,5867,2313
1751438078278176089,0,-3591,-1309,4416,9830,459,-4224,5866,2313
1751438078280229701,0,-3590,-1308,4397,9830,459,-4224,5866,2313
1751438078282218976,0,-3590,-1309,4397,9831,459,-4223,5867,2313
1751438078284112920,0,-3583,-1305,4409,9830,459,-4224,5866,2313
1751438078286104151,0,-3583,-1305,4409,9830,459,-4224,5866,2313
1751438078288147853,0,-3589,-1305,4409,9830,459,-4224,5866,2313
1751438078290138893,0,-3589,-1305,4409,9831,459,-4223,5867,2313
1751438078292133450,0,-3581,-1308,4409,9836,459,-4224,5866,2313
1751438078294086215,0,-3581,-1308,4409,9837,459,-4223,5867,2313
1751438078296105470,0,-3590,-1308,4409,9837,459,-4223,5867,2313
1751438078298112778,0,-3590,-1308,4409,9836,459,-4224,5866,2313
1751438078300128941,0,-3588,-1308,4385,9822,459,-4224,5866,2313
1751438078302170751,0,-3588,-1307,4385,9823,459,-4223,5867,2313
1751438078304084318,0,-3590,-1274,4421,9822,459,-4224,5866,2313
1751438078306070732,0,-3590,-1274,4421,9823,459,-4223,5867,2313
1751438078308094020,0,-3590,-1305,4409,9831,459,-4223,5867,2313
1751438078310064087,0,-3590,-1305,4409,9831,459,-4223,5867,2313
1751438078312129881,0,-3571,-1333,4421,9834,459,-4223,5867,2313
1751438078314120071,0,-3571,-1333,4421,9834,459,-4223,5867,2313
1751438078316107444,0,-3579,-1305,4409,9834,459,-4223,5867,2313
1751438078318087737,0,-3579,-1305,4409,9833,459,-4224,5866,2313
1751438078320077379,0,-3579,-1305,4409,9833,459,-4224,5866,2313
1751438078322109086,0,-3581,-1308,4416,9831,459,-4223,5867,2313
1751438078324133676,0,-3581,-1308,4416,9830,459,-4224,5866,2313
1751438078326113033,0,-3591,-1301,4409,9822,459,-4224,5866,2313
1751438078328088314,0,-3591,-1301,4409,9822,459,-4224,5866,2313
1751438078330111476,0,-3587,-1314,4409,9831,459,-4223,5867,2313
1751438078332054423,0,-3587,-1314,4409,9830,459,-4224,5866,2313
1751438078334102750,0,-3590,-1316,4397,9830,459,-4224,5866,2313
1751438078336101284,0,-3590,-1316,4397,9830,459,-4224,5866,2313
1751438078338091338,0,-3564,-1346,4397,9858,459,-4224,5866,2313
1751438078340105014,0,-3564,-1346,4397,9858,459,-4224,5866,2313
1751438078342123310,0,-3590,-1308,4397,9831,459,-4223,5867,2313
1751438078344065021,0,-3590,-1308,4397,9831,459,-4223,5867,2313
1751438078346111624,0,-3583,-1305,4409,9830,459,-4224,5866,2313
1751438078348070402,0,-3583,-1305,4409,9831,459,-4223,5867,2313
1751438078350091123,0,-3581,-1308,4397,9831,459,-4223,5867,2313
1751438078352113155,0,-3581,-1308,4397,9831,459,-4223,5867,2313
1751438078354080464,0,-3597,-1308,4397,9830,459,-4224,5866,2313
1751438078356162120,0,-3597,-1308,4397,9831,459,-4223,5867,2313
1751438078358155609,0,-3588,-1308,4409,9834,459,-4223,5867,2313
1751438078360124687,0,-3588,-1308,4409,9834,459,-4223,5867,2313
1751438078362159681,0,-3589,-1316,4397,9831,459,-4223,5867,2313
1751438078364105175,0,-3589,-1316,4397,9830,459,-4224,5866,2313
1751438078366095852,0,-3590,-1253,4421,9830,459,-4224,5866,2313
1751438078368155014,0,-3590,-1253,4421,9831,459,-4223,5867,2313
1751438078370150195,0,-3590,-1305,4397,9834,459,-4223,5867,2313
1751438078372175652,0,-3590,-1305,4397,9834,459,-4223,5867,2313
1751438078374257391,0,-3587,-1192,4397,9831,459,-4223,5867,2313
1751438078376161778,0,-3587,-1192,4397,9831,459,-4223,5867,2313
1751438078378130294,0,-3588,-1301,4385,9826,459,-4224,5866,2313
1751438078380138667,0,-3588,-1301,4385,9826,459,-4224,5866,2313
1751438078382143841,0,-3589,-1301,4409,9830,459,-4224,5866,2313
1751438078384172749,0,-3589,-1301,4409,9830,459,-4224,5866,2313
1751438078386182233,0,-3581,-1307,4409,9830,459,-4224,5866,2313
