%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041702011600659,0,11531,91,-508,-2038
1750041702013589784,0,11589,91,-514,-2038
1750041702015591672,0,11589,91,-515,-2038
1750041702017606592,0,11605,91,-508,-2037
1750041702019623589,0,11605,91,-508,-2037
1750041702021545159,0,11561,90,-513,-2037
1750041702023588386,0,11560,90,-513,-2037
1750041702025650833,0,11590,90,-517,-2036
1750041702027704692,0,11590,90,-517,-2036
1750041702029575094,0,11589,90,-509,-2036
1750041702031604666,0,11589,90,-509,-2036
1750041702033789000,0,11584,90,-513,-2036
1750041702035565236,0,11584,90,-513,-2036
1750041702037602767,0,11583,90,-509,-2036
1750041702039613189,0,11583,90,-509,-2036
1750041702041631319,0,11590,90,-513,-2036
1750041702043634614,0,11590,90,-513,-2036
1750041702045576677,0,11584,90,-518,-2036
1750041702047644113,0,11584,90,-518,-2036
1750041702049659473,0,10488,90,333,-2036
1750041702051608047,0,11590,90,-517,-2036
1750041702053623878,0,11583,90,-508,-2036
1750041702055590223,0,11583,90,-508,-2036
1750041702057579958,0,11590,90,-513,-2036
1750041702059589716,0,11590,90,-514,-2037
1750041702061605098,0,12687,90,333,-2036
1750041702063590870,0,11585,91,-517,-2036
1750041702065643810,0,11589,91,-499,-2036
1750041702067550902,0,11589,91,-498,-2036
1750041702069582896,0,11589,91,-518,-2036
1750041702071604064,0,11589,91,-518,-2036
1750041702073591363,0,11584,91,-499,-2036
1750041702075698147,0,11584,91,-499,-2036
1750041702077590094,0,11589,91,-453,-2036
1750041702079685961,0,11589,91,-452,-2036
1750041702081590663,0,11589,91,-511,-2036
1750041702083593045,0,11589,91,-511,-2036
1750041702085594791,0,11585,91,-529,-2036
1750041702087594821,0,11585,91,-529,-2036
1750041702089690355,0,11585,91,-529,-2036
1750041702091603765,0,11590,91,-516,-2036
1750041702093598646,0,11590,91,-515,-2035
1750041702095618624,0,11590,91,-526,-2035
1750041702097718020,0,11590,91,-526,-2035
1750041702099632747,0,11591,91,-545,-2035
1750041702101682524,0,11591,91,-545,-2035
1750041702103640567,0,11590,91,-465,-2035
1750041702105583796,0,11590,91,-465,-2036
1750041702107568606,0,11562,91,-516,-2036
1750041702109719885,0,11562,91,-516,-2036
1750041702111636121,0,11590,91,-496,-2036
1750041702113659132,0,11590,91,-496,-2036
1750041702115632117,0,11590,91,-512,-2036
1750041702117626608,0,11590,91,-512,-2036
1750041702119552317,0,11591,91,-545,-2036
1750041702121542279,0,11591,91,-545,-2036
1750041702123500628,0,11590,91,-507,-2036
1750041702125554374,0,11590,91,-507,-2036
1750041702127542878,0,11590,91,-522,-2036
1750041702129611064,0,11590,91,-522,-2036
1750041702131574124,0,11591,91,-512,-2036
1750041702133565305,0,11591,91,-512,-2036
1750041702135668157,0,11552,91,-508,-2036
1750041702137638939,0,11552,91,-508,-2036
1750041702139713622,0,11585,91,-512,-2036
1750041702141614755,0,11585,91,-512,-2036
1750041702143602695,0,11584,91,-517,-2036
1750041702145600588,0,11584,91,-517,-2036
1750041702147560304,0,11567,91,-512,-2036
1750041702149554077,0,11566,90,-512,-2036
1750041702151610017,0,11588,90,-518,-2036
1750041702153622050,0,11588,90,-518,-2036
1750041702155582771,0,11589,90,-512,-2036
1750041702157660944,0,11590,91,-512,-2036
1750041702159577443,0,11580,90,-482,-2036
1750041702161552679,0,11580,90,-481,-2036
1750041702163637799,0,11583,90,-512,-2036
1750041702165570347,0,11583,90,-512,-2036
1750041702167624006,0,11583,90,-489,-2036
1750041702169619663,0,11583,90,-488,-2036
1750041702171589196,0,11589,90,-502,-2036
1750041702173575704,0,11589,90,-502,-2036
1750041702175712363,0,11590,90,-502,-2036
1750041702177693912,0,11589,90,-507,-2036
1750041702179677387,0,11589,90,-507,-2036
1750041702181628848,0,11584,90,-511,-2036
1750041702183574084,0,11584,90,-511,-2036
1750041702185624543,0,11581,91,-506,-2036
1750041702187603909,0,11580,90,-506,-2036
