%time,opos,force
1753067826557779681,-1,3.0784949738863925
1753067826559805928,-1,3.0784949738863925
1753067826561782606,-1,2.8114513353042176
1753067826563745178,-2,2.8114513353042176
1753067826565742080,-2,2.36934686669915
1753067826567727111,-2,2.36934686669915
1753067826569776806,-2,2.8114513353042176
1753067826571729588,-2,2.8114513353042176
1753067826573784493,-2,2.36934686669915
1753067826575743552,-2,2.36934686669915
1753067826577853869,-2,2.8114513353042176
1753067826579713052,-2,2.8114513353042176
1753067826581725827,-2,2.6099149218935733
1753067826583758658,-2,2.36934686669915
1753067826585789030,-2,2.36934686669915
1753067826587737470,-2,2.36934686669915
1753067826589778301,-1,2.5805148083339677
1753067826591737981,-1,2.8114513353042176
1753067826593775840,-1,2.8114513353042176
1753067826595773113,-1,2.8114513353042176
1753067826597737024,-1,2.8114513353042176
1753067826599738729,-1,3.894644674305815
1753067826601740421,-1,3.894644674305815
1753067826603752982,-1,3.0784949738863925
1753067826627742647,-1,2.8114513353042176
1753067826629741994,-1,2.8114513353042176
1753067826631701486,-1,2.8114513353042176
1753067826633704282,-1,2.8114513353042176
1753067826635707237,-2,2.8114513353042176
1753067826637706392,-2,2.8114513353042176
1753067826639723442,-3,2.8114513353042176
1753067826641735658,-3,2.8114513353042176
1753067826643795209,-4,1.591266427848758
1753067826645730887,-4,1.591266427848758
1753067826647733384,-4,2.36934686669915
1753067826649698382,-4,2.36934686669915
1753067826651762294,-4,1.591266427848758
1753067826653745370,-4,1.591266427848758
1753067826655682720,-4,1.591266427848758
1753067826657662248,-4,1.591266427848758
1753067826659705341,-4,2.36934686669915
1753067826661613440,-4,2.36934686669915
1753067826663680200,-4,2.1205302173278713
1753067826665643532,-4,0.7440736543059595
1753067826667802016,-4,1.2612688835018377
1753067826670645246,-4,0.32939270660706316
1753067826672677870,-4,1.591266427848758
1753067826674596848,-4,1.591266427848758
1753067826676642412,-3,4.358606145941064
1753067826678645545,-3,4.358606145941064
1753067826680620564,-3,2.36934686669915
1753067826682692821,-3,2.36934686669915
1753067826684621653,-3,1.591266427848758
1753067826686610042,-2,1.591266427848758
1753067826688598987,-2,2.36934686669915
1753067826690637491,-2,2.36934686669915
1753067826692597898,-2,9.463838797734649
1753067826694605045,-1,9.463838797734649
1753067826696543129,-1,3.0784949738863925
1753067826698563558,-1,3.0784949738863925
1753067826700570333,-1,2.8114513353042176
1753067826702583245,-1,2.8114513353042176
1753067826704578055,-1,2.8114513353042176
1753067826706552956,-1,2.8114513353042176
1753067826708610212,-1,2.510598569222335
1753067826710549159,-1,0.7440736543059595
1753067826712558208,-1,0.9630209334981983
1753067826714528997,-1,2.36934686669915
1753067826716533005,-1,2.36934686669915
1753067826718546169,-1,2.36934686669915
1753067826720520470,-1,2.36934686669915
1753067826722635121,-1,1.591266427848758
1753067826724526733,-1,1.591266427848758
1753067826726565862,-1,1.591266427848758
1753067826728581408,-1,1.591266427848758
1753067826730609498,-1,1.591266427848758
1753067826732548753,-1,1.591266427848758
1753067826734574043,-1,1.591266427848758
1753067848550109823,-1,3.0784949738863925
1753067848552201235,-2,2.8114513353042176
1753067848554196393,-3,2.8114513353042176
1753067848556164372,-4,3.3488852575009456
1753067848558203600,-4,3.3488852575009456
1753067848560103384,-6,3.0784949738863925
1753067848562132512,-6,3.0784949738863925
1753067848564110134,-7,3.0784949738863925
1753067848566135265,-8,2.8114513353042176
1753067848568083085,-10,2.8114513353042176
1753067848570127828,-10,2.8114513353042176
1753067848572106970,-11,2.8114513353042176
1753067848574149795,-12,3.0784949738863925
1753067848576126138,-13,3.0784949738863925
1753067848578093421,-14,2.8114513353042176
1753067848580098502,-15,2.8114513353042176
1753067848582025186,-15,3.0784949738863925
1753067848584030559,-17,3.0784949738863925
1753067848586041586,-18,2.8114513353042176
1753067848588050251,-19,2.8114513353042176
1753067848590014171,-19,2.8114513353042176
1753067848592006347,-20,2.8114513353042176
1753067848594088415,-21,2.8114513353042176
1753067848595987509,-22,2.8114513353042176
1753067848598024218,-23,3.0784949738863925
1753067848600046462,-24,3.0784949738863925
1753067848602074451,-25,2.36934686669915
