%time,field.layout.data_offset,field.data1,field.data0
1747553118828494376,0,0,8
1747553118849609942,0,0,8
1747553118870638466,0,0,8
1747553118891451448,0,0,8
1747553118912535457,0,0,8
1747553118933277660,0,0,9
1747553118954406368,0,0,9
1747553118975459927,0,0,8
1747553118996416288,0,0,8
1747553119017209013,0,0,8
1747553119038368616,0,0,8
1747553119059305663,0,0,8
1747553119080426996,0,0,8
1747553119101437067,0,0,8
1747553119126205194,0,0,8
1747553119147223337,0,0,8
1747553119168178405,0,0,8
1747553119188947703,0,0,8
1747553119209827752,0,0,8
1747553119230815535,0,0,8
1747553119251791626,0,0,8
1747553119272930161,0,0,8
1747553119294048279,0,0,8
1747553119314912646,0,0,8
1747553119335710557,0,0,8
1747553119356683029,0,0,7
1747553119377983164,0,0,9
1747553119398792145,0,0,8
1747553119419538731,0,0,8
1747553119440671806,0,0,7
1747553119461791885,0,0,8
1747553119487695248,0,0,8
1747553119508458828,0,0,8
1747553119529552482,0,0,8
1747553119550337578,0,0,8
1747553119571466814,0,0,9
1747553119592289621,0,0,8
1747553119613156506,0,0,8
1747553119634090396,0,0,8
1747553119655118532,0,0,8
1747553119676238652,0,0,9
1747553119697337700,0,0,8
1747553119718087725,0,0,9
1747553119739207064,0,0,7
1747553119760122828,0,0,8
1747553119780922213,0,0,8
1747553119801795279,0,0,8
1747553119826836393,0,0,8
1747553119848082854,0,0,8
1747553119868653637,0,0,8
1747553119889862532,0,0,8
1747553119910777032,0,0,8
1747553119931778905,0,0,8
1747553119952867782,0,0,8
1747553119973664018,0,0,8
1747553119994648438,0,0,8
1747553120015446283,0,0,8
1747553120036438676,0,0,7
1747553120057611060,0,0,8
1747553120078648321,0,0,8
1747553120099406057,0,0,8
1747553120120329951,0,0,8
1747553120141399395,0,0,8
1747553120167298430,0,0,8
1747553120188117527,0,0,8
1747553120209115194,0,0,8
1747553120230212404,0,0,8
1747553120251262024,0,0,8
1747553120272143091,0,0,8
1747553120293269761,0,0,8
1747553120314261728,0,0,8
1747553120335094625,0,0,8
1747553120355958365,0,0,8
1747553120377047323,0,0,8
1747553120397923441,0,0,8
1747553120418972266,0,0,8
1747553120439838760,0,0,8
1747553120460751989,0,0,8
1747553120481319225,0,0,8
1747553120506646315,0,0,8
1747553120527479491,0,0,8
1747553120548486868,0,0,8
1747553120569450485,0,0,8
1747553120590510715,0,0,8
1747553120611497101,0,0,9
1747553120632420271,0,0,8
1747553120653426232,0,0,9
1747553120674316978,0,0,8
1747553120695439031,0,0,9
1747553120716326594,0,0,8
1747553120737272030,0,0,8
1747553120758344122,0,0,8
1747553120779252119,0,0,8
1747553120799848216,0,0,8
1747553120820952746,0,0,8
1747553120846121999,0,0,8
1747553120867043455,0,0,8
1747553120887834540,0,0,9
1747553120908901115,0,0,8
1747553120929881289,0,0,8
1747553120950838278,0,0,8
1747553120971789480,0,0,9
1747553120992964524,0,0,8
1747553121013793348,0,0,8
1747553121034710344,0,0,8
1747553121055641845,0,0,8
1747553121076670210,0,0,8
1747553121097622378,0,0,8
1747553121118476773,0,0,8
1747553121139589761,0,0,8
1747553121160481749,0,0,8
1747553121181310760,0,0,9
1747553121207475929,0,0,8
1747553121228234372,0,0,8
1747553121249236206,0,0,8
1747553121270332221,0,0,8
1747553121291163123,0,0,8
1747553121312115035,0,0,8
1747553121333297254,0,0,8
1747553121354131030,0,0,8
1747553121375239572,0,0,9
1747553121396264210,0,0,8
1747553121417089304,0,0,8
1747553121438010922,0,0,8
1747553121459048568,0,0,8
1747553121479964009,0,0,8
1747553121501007426,0,0,8
1747553121521616459,0,0,8
1747553121546684470,0,0,8
1747553121567680286,0,0,8
1747553121588521335,0,0,8
1747553121609456229,0,0,8
1747553121630479802,0,0,8
1747553121651535451,0,0,8
1747553121672501588,0,0,7
1747553121693401435,0,0,8
1747553121714401577,0,0,8
1747553121735538934,0,0,8
1747553121756401402,0,0,9
1747553121777416479,0,0,9
1747553121798246967,0,0,8
1747553121819369699,0,0,8
1747553121840349993,0,0,9
1747553121860964565,0,0,8
1747553121885889262,0,0,9
1747553121906937148,0,0,8
1747553121927809878,0,0,8
1747553121948700722,0,0,8
1747553121969857152,0,0,8
1747553121991012146,0,0,8
1747553122011942797,0,0,8
1747553122033003936,0,0,8
1747553122053945914,0,0,8
1747553122074954717,0,0,8
1747553122095898348,0,0,9
1747553122116610143,0,0,8
1747553122137802810,0,0,8
1747553122158746956,0,0,8
1747553122179730063,0,0,9
1747553122200436907,0,0,8
1747553122221372947,0,0,8
1747553122246322362,0,0,8
1747553122267578718,0,0,8
1747553122288491307,0,0,8
1747553122309382912,0,0,8
1747553122330335852,0,0,9
1747553122351324502,0,0,8
1747553122372411128,0,0,8
1747553122393251649,0,0,8
1747553122414071557,0,0,7
1747553122435158141,0,0,8
1747553122456200720,0,0,8
1747553122477109599,0,0,8
1747553122497788102,0,0,8
1747553122518894166,0,0,8
1747553122540074983,0,0,8
1747553122560954343,0,0,8
1747553122581860778,0,0,8
1747553122606768661,0,0,8
1747553122628057197,0,0,8
1747553122648862912,0,0,8
1747553122669954029,0,0,8
1747553122690750459,0,0,8
1747553122711733656,0,0,8
1747553122732580100,0,0,8
1747553122753602292,0,0,8
1747553122774623279,0,0,8
1747553122795454546,0,0,8
1747553122816443568,0,0,8
1747553122837463178,0,0,8
1747553122858488875,0,0,8
1747553122879313651,0,0,8
1747553122900109395,0,0,8
1747553122921058546,0,0,8
1747553122946174289,0,0,8
1747553122967211469,0,0,8
1747553122987988459,0,0,8
1747553123009027598,0,0,8
1747553123030027145,0,0,8
1747553123051030423,0,0,8
1747553123071951243,0,0,8
1747553123092981486,0,0,8
1747553123113962398,0,0,8
