opos,force
-100.0,3.1178157622701184
-99.0,3.1236830848512867
-98.0,3.129550407432455
-97.0,3.1354177300136232
-96.0,3.1412850525947915
-95.0,3.14715237517596
-94.0,3.153019697757128
-93.0,3.1588870203382964
-92.0,3.1647543429194647
-91.0,3.170621665500633
-90.0,3.1764889880818012
-89.0,3.1823563106629695
-88.0,3.1882236332441374
-87.0,3.1940909558253057
-86.0,3.199958278406474
-85.0,3.2058256009876422
-84.0,3.2116929235688105
-83.0,3.217560246149979
-82.0,3.223427568731147
-81.0,3.229294891312315
-80.0,3.2351622138934832
-79.0,3.2410295364746515
-78.0,3.24689685905582
-77.0,3.252764181636988
-76.0,3.2586315042181564
-75.0,3.2644988267993247
-74.0,3.270366149380493
-73.0,3.2762334719616613
-72.0,3.2821007945428295
-71.0,3.287968117123998
-70.0,3.2938354397051657
-69.0,3.299702762286334
-68.0,3.3055700848675023
-67.0,3.3114374074486705
-66.0,3.317304730029839
-65.0,3.323172052611007
-64.0,3.3290393751921754
-63.0,3.3349066977733437
-62.0,3.3407740203545115
-61.0,3.34664134293568
-60.0,3.352508665516848
-59.0,3.3583759880980164
-58.0,3.3642433106791847
-57.0,3.370110633260353
-56.0,3.3759779558415213
-55.0,3.3818452784226896
-54.0,3.387712601003858
-53.0,3.393579923585026
-52.0,3.3994472461661944
-51.0,3.4053145687473623
-50.0,3.4111818913285306
-49.0,3.417049213909699
-48.0,3.422916536490867
-47.0,3.4287838590720354
-46.0,3.4346511816532037
-45.0,3.440518504234372
-44.0,3.4463858268155403
-43.0,3.452253149396708
-42.0,3.4581204719778764
-41.0,3.4639877945590447
-40.0,3.469855117140213
-39.0,3.4757224397213813
-38.0,3.4815897623025496
-37.0,3.487457084883718
-36.0,3.493324407464886
-35.0,3.4991917300460544
-34.0,3.5050590526272227
-33.0,3.510926375208391
-32.0,3.516793697789559
-31.0,3.522661020370727
-30.0,3.5285283429518954
-29.0,3.5343956655330637
-28.0,3.540262988114232
-27.0,3.5461303106954003
-26.0,3.5519976332765686
-25.0,3.557864955857737
-24.0,3.5637322784389047
-23.0,3.569599601020073
-22.0,3.5754669236012413
-21.0,3.5813342461824096
-20.0,3.587201568763578
-19.0,3.593068891344746
-18.0,3.5989362139259145
-17.0,3.6048035365070827
-16.0,3.610670859088251
-15.0,3.6165381816694193
-14.0,3.622405504250587
-13.0,3.6282728268317554
-12.0,3.6341401494129237
-11.0,3.640007471994092
-10.0,3.6458747945752603
-9.0,3.6517421171564286
-8.0,3.657609439737597
-7.0,3.663476762318765
-6.0,3.6693440848999335
-5.0,3.6752114074811018
-4.0,3.6810787300622696
-3.0,3.686946052643438
-2.0,3.692813375224606
-1.0,3.6986806978057745
0.0,3.7045480203869428
1.0,3.710415342968111
2.0,3.7162826655492793
3.0,3.7221499881304476
4.0,3.728017310711616
5.0,3.7338846332927838
6.0,3.739751955873952
7.0,3.7456192784551203
8.0,3.7514866010362886
9.0,3.757353923617457
10.0,3.763221246198625
11.0,3.7690885687797935
12.0,3.7749558913609618
13.0,3.78082321394213
14.0,3.7866905365232983
15.0,3.792557859104466
16.0,3.7984251816856345
17.0,3.8042925042668028
18.0,3.810159826847971
19.0,3.8160271494291393
20.0,3.8218944720103076
21.0,3.827761794591476
