%time,field.layout.data_offset,field.data3,field.data1,field.data2,field.data0,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1747548022637976122,0,511,2,652,525,271,0,327,520,633,706,706,500
1747548022740116432,0,508,0,653,526,270,0,327,520,634,706,705,499
1747548022838804850,0,509,0,653,525,271,0,327,519,633,706,705,499
1747548022940998113,0,507,1,653,521,271,0,327,520,632,705,705,499
1747548023039314606,0,510,0,653,526,271,0,326,520,633,705,704,499
1747548023137704091,0,508,0,653,526,269,0,327,520,633,706,704,498
1747548023240180747,0,509,0,653,524,271,0,325,520,632,706,706,499
1747548023338560730,0,507,0,652,525,270,0,325,519,633,705,704,498
1747548023440852360,0,509,1,652,524,270,0,325,519,633,706,705,498
1747548023539241127,0,509,0,652,527,271,0,326,520,632,705,705,498
1747548023640953157,0,508,0,653,526,271,1,326,519,632,706,704,499
1747548023739847804,0,508,0,652,525,272,0,327,519,631,706,704,497
1747548023838209427,0,508,0,652,524,271,0,327,519,633,706,705,498
1747548023940640074,0,508,0,653,528,269,0,327,520,632,705,704,499
1747548024038889638,0,509,0,652,526,271,0,326,520,632,706,705,498
1747548024140986504,0,509,0,657,527,270,0,327,519,632,706,704,499
1747548024239155253,0,508,0,656,527,270,0,325,519,632,706,705,497
1747548024337777238,0,510,0,653,527,271,0,326,519,632,705,705,500
1747548024440237090,0,508,0,653,527,271,0,326,520,633,706,704,498
1747548024538613827,0,508,0,652,526,271,0,328,520,632,706,704,499
1747548024640747801,0,508,0,642,525,271,0,327,519,632,706,704,498
1747548024739095732,0,507,1,659,528,270,0,328,519,632,706,704,498
1747548024841354366,0,509,2,652,527,271,0,327,518,632,706,705,498
1747548024940040220,0,509,1,653,528,272,0,328,519,631,705,703,499
1747548025038448595,0,508,0,653,528,270,0,326,518,631,706,704,497
1747548025140592796,0,508,0,653,529,270,0,327,519,630,704,703,498
1747548025239008220,0,509,0,653,528,270,0,326,518,632,705,703,498
1747548025341073755,0,508,0,653,529,272,0,325,518,631,704,703,497
1747548025439537953,0,508,0,654,529,272,0,326,518,631,704,703,498
1747548025537888752,0,508,0,652,530,269,0,325,517,630,704,702,497
1747548025639694892,0,509,0,652,529,271,0,325,517,629,705,702,497
1747548025738695877,0,508,0,653,529,271,0,325,517,629,703,701,496
1747548025841175121,0,509,0,652,529,271,0,324,516,629,703,701,496
1747548025939590241,0,510,0,653,532,269,0,324,517,628,703,700,495
1747548026041693326,0,507,0,651,532,270,0,325,516,627,702,699,497
1747548026140145301,0,508,0,651,529,270,0,323,516,628,703,700,495
1747548026238614744,0,507,0,653,529,271,0,325,515,628,702,700,495
1747548026340933954,0,507,1,653,529,265,0,324,516,627,701,700,495
1747548026438985925,0,509,0,652,531,271,0,324,517,628,702,700,494
1747548026541393413,0,503,0,653,530,271,0,321,515,626,701,700,495
1747548026639448878,0,509,0,653,531,270,0,324,515,628,700,698,495
1747548026737902294,0,514,0,651,531,271,0,322,514,627,699,699,493
1747548026840190142,0,508,0,652,530,270,0,322,515,626,699,699,494
1747548026938824934,0,508,0,652,530,273,0,321,514,624,699,696,494
1747548027041125135,0,507,0,652,533,271,0,323,514,625,700,698,493
1747548027139608684,0,508,0,652,532,272,0,323,514,625,697,696,492
1747548027237837397,0,507,0,653,535,285,0,323,514,625,700,695,493
1747548027340367791,0,505,0,653,531,270,0,321,513,625,698,697,490
1747548027438397824,0,511,0,651,536,273,0,322,512,624,698,695,492
1747548027540484081,0,502,0,652,530,270,0,321,513,625,697,695,492
1747548027639184099,0,502,1,652,532,270,0,322,513,622,698,695,490
1747548027741354892,0,508,0,652,532,269,0,322,512,625,698,694,492
1747548027839757814,0,509,3,652,535,271,0,323,513,624,698,696,490
1747548027938358919,0,508,0,652,532,271,0,323,512,624,698,695,493
1747548028040482995,0,507,0,652,531,268,0,322,512,625,698,695,492
1747548028138776431,0,508,0,653,533,271,0,323,513,624,697,694,491
1747548028241365461,0,508,0,653,533,271,0,322,513,624,697,696,492
1747548028339436189,0,508,0,652,531,270,5,322,513,624,698,695,491
1747548028438175639,0,509,0,652,533,271,0,323,513,623,697,695,492
1747548028540208650,0,509,0,653,532,270,0,321,511,624,697,695,492
1747548028638457983,0,509,0,652,533,272,0,323,512,624,697,694,491
1747548028740715896,0,508,0,652,533,270,1,322,511,623,695,695,492
1747548028839445833,0,511,0,649,535,271,0,321,512,623,696,694,491
1747548028941419677,0,507,0,652,534,271,0,321,512,622,696,694,489
1747548029040096267,0,508,1,653,534,270,0,322,511,622,696,695,491
1747548029138553964,0,508,0,653,534,271,0,321,512,623,696,693,490
1747548029240433935,0,510,0,655,537,271,0,321,512,622,695,694,490
1747548029339088373,0,509,0,652,536,270,0,322,511,622,695,693,491
1747548029441327753,0,518,0,654,533,272,0,321,512,622,694,692,489
1747548029539898652,0,509,0,652,538,270,0,319,510,621,694,694,490
