%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1752391330232230375,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330234146124,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330236193814,0,-2779,-21196,23125,19137,-12193,15760,-232,20166
1752391330238133087,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330240235676,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330242165170,0,-2780,-21196,23125,19137,-12192,15760,-232,20166
1752391330244135166,0,-2779,-21196,23125,19137,-12193,15760,-232,20166
1752391330246162333,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330248305446,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330250198740,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330252193450,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330254255585,0,-2779,-21196,23126,19137,-12193,15760,-232,20166
1752391330256244784,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330258118676,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330260141208,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330262106854,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330264125824,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330266109919,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330268089193,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330270097652,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330272128010,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330274194151,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330276180721,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330278110478,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330280140218,0,-2780,-21196,23126,19137,-12192,15760,-232,20166
1752391330282086453,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330284068341,0,-2779,-21196,23125,19137,-12193,15760,-232,20166
1752391330286096199,0,-2779,-21196,23126,19137,-12192,15759,-232,20166
1752391330288033717,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330290086493,0,-2779,-21196,23126,19137,-12193,15759,-232,20166
1752391330292048534,0,-2779,-21196,23125,19137,-12192,15759,-232,20166
1752391330294108547,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330296098356,0,-2780,-21196,23125,19137,-12192,15760,-232,20166
1752391330298085517,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330300085122,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330302053476,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330304006640,0,-2779,-21196,23126,19137,-12193,15760,-232,20166
1752391330305983118,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330308091186,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330310002340,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330312027437,0,-2779,-21196,23126,19137,-12192,15759,-232,20166
1752391330313999670,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330316061884,0,-2779,-21196,23125,19137,-12192,15759,-232,20166
1752391330317984627,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330320060801,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330322006525,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330324032794,0,-2779,-21196,23126,19137,-12193,15760,-232,20166
1752391330325983543,0,-2779,-21196,23126,19137,-12193,15760,-232,20166
1752391330328010065,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330330034180,0,-2779,-21196,23126,19137,-12192,15760,-232,20166
1752391330331989158,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330333929534,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
1752391330336006737,0,-2779,-21196,23125,19137,-12192,15760,-232,20166
