opos,force
-4062.0,19.970959333204767
-4061.0,19.96632645465426
-4060.0,19.961693576103755
-4059.0,19.957060697553253
-4058.0,19.952427819002747
-4057.0,19.94779494045224
-4056.0,19.943162061901734
-4055.0,19.938529183351232
-4054.0,19.933896304800726
-4053.0,19.92926342625022
-4052.0,19.924630547699717
-4051.0,19.91999766914921
-4050.0,19.915364790598705
-4049.0,19.910731912048202
-4048.0,19.906099033497696
-4047.0,19.90146615494719
-4046.0,19.896833276396688
-4045.0,19.89220039784618
-4044.0,19.887567519295676
-4043.0,19.882934640745173
-4042.0,19.878301762194667
-4041.0,19.87366888364416
-4040.0,19.86903600509366
-4039.0,19.864403126543152
-4038.0,19.859770247992646
-4037.0,19.85513736944214
-4036.0,19.850504490891637
-4035.0,19.84587161234113
-4034.0,19.841238733790625
-4033.0,19.836605855240123
-4032.0,19.831972976689617
-4031.0,19.82734009813911
-4030.0,19.822707219588608
-4029.0,19.818074341038102
-4028.0,19.813441462487596
-4027.0,19.808808583937093
-4026.0,19.804175705386587
-4025.0,19.79954282683608
-4024.0,19.794909948285575
-4023.0,19.790277069735073
-4022.0,19.785644191184566
-4021.0,19.78101131263406
-4020.0,19.776378434083558
-4019.0,19.77174555553305
-4018.0,19.767112676982546
-4017.0,19.762479798432043
-4016.0,19.757846919881537
-4015.0,19.75321404133103
-4014.0,19.74858116278053
-4013.0,19.743948284230022
-4012.0,19.739315405679516
-4011.0,19.734682527129014
-4010.0,19.730049648578508
-4009.0,19.725416770028
-4008.0,19.7207838914775
-4007.0,19.716151012926993
-4006.0,19.711518134376487
-4005.0,19.70688525582598
-4004.0,19.702252377275478
-4003.0,19.697619498724972
-4002.0,19.692986620174466
-4001.0,19.688353741623963
-4000.0,19.683720863073457
-3999.0,19.67908798452295
-3998.0,19.67445510597245
-3997.0,19.669822227421943
-3996.0,19.665189348871436
-3995.0,19.660556470320934
-3994.0,19.655923591770428
-3993.0,19.65129071321992
-3992.0,19.646657834669416
-3991.0,19.642024956118913
-3990.0,19.637392077568407
-3989.0,19.6327591990179
-3988.0,19.6281263204674
-3987.0,19.623493441916892
-3986.0,19.618860563366386
-3985.0,19.614227684815884
-3984.0,19.609594806265378
-3983.0,19.60496192771487
-3982.0,19.60032904916437
-3981.0,19.595696170613863
-3980.0,19.591063292063357
-3979.0,19.586430413512854
-3978.0,19.581797534962348
-3977.0,19.577164656411842
-3976.0,19.57253177786134
-3975.0,19.567898899310833
-3974.0,19.563266020760327
-3973.0,19.55863314220982
-3972.0,19.55400026365932
-3971.0,19.549367385108813
-3970.0,19.544734506558306
-3969.0,19.540101628007804
-3968.0,19.535468749457298
-3967.0,19.53083587090679
-3966.0,19.52620299235629
-3965.0,19.521570113805783
-3964.0,19.516937235255277
-3963.0,19.512304356704774
-3962.0,19.50767147815427
-3961.0,19.503038599603762
-3960.0,19.498405721053256
-3959.0,19.493772842502754
-3958.0,19.489139963952248
-3957.0,19.48450708540174
-3956.0,19.47987420685124
-3955.0,19.475241328300733
-3954.0,19.470608449750227
-3953.0,19.465975571199724
-3952.0,19.461342692649218
-3951.0,19.456709814098712
-3950.0,19.45207693554821
-3949.0,19.447444056997703
-3948.0,19.442811178447197
-3947.0,19.438178299896695
-3946.0,19.43354542134619
-3945.0,19.428912542795683
-3944.0,19.42427966424518
-3943.0,19.419646785694674
-3942.0,19.415013907144168
-3941.0,19.41038102859366
-3940.0,19.40574815004316
-3939.0,19.401115271492653
-3938.0,19.396482392942147
-3937.0,19.391849514391645
-3936.0,19.38721663584114
-3935.0,19.382583757290632
-3934.0,19.37795087874013
-3933.0,19.373318000189624
-3932.0,19.368685121639118
-3931.0,19.364052243088615
-3930.0,19.35941936453811
-3929.0,19.354786485987603
-3928.0,19.350153607437097
-3927.0,19.345520728886594
-3926.0,19.340887850336088
-3925.0,19.336254971785582
-3924.0,19.33162209323508
-3923.0,19.326989214684573
-3922.0,19.322356336134067
-3921.0,19.317723457583565
-3920.0,19.31309057903306
-3919.0,19.308457700482553
-3918.0,19.30382482193205
-3917.0,19.299191943381544
-3916.0,19.294559064831038
-3915.0,19.289926186280535
-3914.0,19.28529330773003
-3913.0,19.280660429179523
-3912.0,19.27602755062902
-3911.0,19.271394672078515
-3910.0,19.26676179352801
-3909.0,19.262128914977502
-3908.0,19.257496036427
-3907.0,19.252863157876494
-3906.0,19.248230279325988
-3905.0,19.243597400775485
-3904.0,19.23896452222498
-3903.0,19.234331643674473
-3902.0,19.22969876512397
-3901.0,19.225065886573464
-3900.0,19.220433008022958
-3899.0,19.215800129472456
-3898.0,19.21116725092195
-3897.0,19.206534372371443
-3896.0,19.201901493820937
-3895.0,19.197268615270435
-3894.0,19.19263573671993
-3893.0,19.188002858169423
-3892.0,19.18336997961892
-3891.0,19.178737101068414
-3890.0,19.174104222517908
-3889.0,19.169471343967405
-3888.0,19.1648384654169
-3887.0,19.160205586866393
-3886.0,19.15557270831589
-3885.0,19.150939829765385
-3884.0,19.14630695121488
-3883.0,19.141674072664376
-3882.0,19.13704119411387
-3881.0,19.132408315563364
-3880.0,19.12777543701286
-3879.0,19.123142558462355
-3878.0,19.11850967991185
-3877.0,19.113876801361343
-3876.0,19.10924392281084
-3875.0,19.104611044260334
-3874.0,19.099978165709828
-3873.0,19.095345287159326
-3872.0,19.09071240860882
