%time,field.layout.data_offset,field.data0,field.data1
1746953737388344928,0,767,3036
1746953737408693361,0,767,3036
1746953737428528711,0,767,3036
1746953737448587168,0,767,3036
1746953737468459548,0,767,3036
1746953737488355083,0,767,3036
1746953737508559963,0,767,3036
1746953737528654758,0,767,3036
1746953737548583132,0,767,3036
1746953737568426158,0,767,3036
1746953737588575657,0,767,3036
1746953737608605012,0,767,3036
1746953737628585048,0,767,3036
1746953737648542626,0,767,3036
1746953737668743968,0,767,3036
1746953737688399610,0,767,3036
1746953737708642898,0,767,3036
1746953737728805685,0,767,3036
1746953737748650805,0,767,3036
1746953737769021221,0,767,3036
1746953737788358045,0,767,3036
1746953737809047268,0,767,3036
1746953737828593972,0,767,3036
1746953737848671719,0,767,3036
1746953737868381071,0,767,3036
1746953737888368043,0,767,3036
1746953737908290173,0,767,3036
1746953737928274742,0,767,3036
1746953737948301011,0,767,3036
1746953737968457592,0,767,3036
1746953737988731441,0,767,3036
1746953738008666384,0,767,3036
1746953738028734863,0,767,3036
1746953738048598866,0,767,3036
1746953738068963281,0,767,3036
1746953738088931269,0,767,3036
1746953738108794145,0,767,3036
1746953738128881684,0,767,3036
1746953738148737382,0,767,3036
1746953738168719511,0,767,3036
1746953738188775538,0,767,3036
1746953738208393615,0,767,3036
1746953738228501918,0,767,3036
1746953738248726599,0,767,3036
1746953738268568724,0,767,3036
1746953738288736991,0,767,3036
1746953738308622879,0,767,3036
1746953738328529161,0,767,3036
1746953738348840985,0,767,3036
1746953738368544502,0,767,3036
1746953738388611114,0,767,3036
1746953738408629862,0,767,3036
1746953738428620885,0,767,3036
1746953738448564011,0,767,3036
1746953738468638217,0,767,3036
1746953738488593869,0,767,3036
1746953738508578779,0,767,3036
1746953738528598121,0,767,3036
1746953738548553644,0,767,3036
1746953738568621217,0,767,3036
1746953738588631181,0,767,3036
1746953738608571323,0,767,3036
1746953738628562750,0,767,3036
1746953738648539741,0,767,3036
1746953738668651326,0,767,3036
1746953738688647158,0,767,3036
1746953738708726924,0,767,3036
1746953738728453307,0,767,3036
1746953738748585031,0,767,3036
1746953738768591100,0,767,3036
1746953738788657752,0,767,3036
1746953738808632774,0,767,3036
1746953738828486720,0,767,3036
1746953738848569214,0,767,3036
1746953738868444554,0,767,3036
1746953738888642474,0,767,3036
1746953738908682965,0,767,3036
1746953738928454023,0,767,3036
1746953738948482947,0,767,3036
1746953738968736888,0,767,3036
1746953738988425028,0,767,3036
1746953739008681186,0,767,3036
1746953739028778589,0,767,3036
1746953739048477497,0,767,3036
1746953739068857405,0,767,3036
1746953739088588666,0,767,3036
1746953739108651492,0,767,3036
1746953739128818475,0,767,3036
1746953739148711211,0,767,3036
1746953739168667312,0,767,3036
1746953739188709292,0,767,3036
1746953739208728233,0,767,3036
1746953739228585270,0,767,3036
1746953739248706159,0,767,3036
1746953739268556663,0,767,3036
1746953739288805663,0,767,3036
1746953739308528075,0,767,3036
1746953739328564511,0,767,3036
1746953739348715656,0,767,3036
1746953739368869498,0,767,3036
1746953739388631443,0,767,3036
1746953739408744699,0,767,3036
1746953739428876033,0,767,3036
1746953739448503973,0,767,3036
1746953739468853979,0,767,3036
1746953739488777177,0,767,3036
1746953739508731717,0,767,3036
1746953739528371378,0,767,3036
1746953739548868483,0,767,3036
1746953739568512018,0,767,3036
1746953739588693301,0,767,3036
1746953739608589616,0,767,3036
1746953739628522167,0,767,3036
1746953739648637443,0,767,3036
1746953739668510918,0,767,3036
1746953739688778644,0,767,3036
1746953739708833696,0,767,3036
1746953739728645480,0,767,3036
1746953739748571545,0,767,3036
1746953739768785604,0,767,3036
1746953739788668125,0,767,3036
1746953739808679073,0,767,3036
1746953739828733793,0,767,3036
1746953739848434676,0,767,3036
1746953739868686922,0,767,3036
1746953739888460003,0,767,3036
1746953739908437739,0,767,3036
1746953739928631149,0,767,3036
1746953739948617759,0,767,3036
1746953739968490863,0,767,3036
1746953739988220655,0,767,3036
1746953740008600224,0,767,3036
1746953740028365088,0,767,3036
1746953740048834495,0,767,3036
1746953740068649387,0,767,3036
1746953740088928704,0,767,3036
1746953740108527677,0,767,3036
1746953740128602931,0,767,3036
1746953740148572657,0,767,3036
1746953740168650856,0,767,3036
1746953740188528664,0,767,3036
1746953740208489291,0,767,3036
1746953740228500172,0,767,3036
1746953740248389709,0,767,3036
1746953740268548280,0,767,3036
1746953740288558259,0,767,3036
1746953740308740293,0,767,3036
1746953740328553267,0,767,3036
1746953740348636147,0,767,3036
1746953740368547129,0,767,3036
1746953740388883476,0,767,3036
1746953740408469527,0,767,3036
1746953740428706011,0,767,3036
1746953740448677637,0,767,3036
1746953740468485316,0,767,3036
1746953740488815342,0,767,3036
1746953740508641595,0,767,3036
1746953740528468240,0,767,3036
1746953740549167713,0,767,3036
1746953740568818946,0,767,3036
1746953740589203183,0,767,3036
1746953740608783058,0,767,3036
1746953740628552104,0,767,3036
1746953740648565018,0,767,3036
1746953740668826031,0,767,3036
1746953740688566375,0,767,3036
1746953740708653673,0,767,3036
1746953740728798307,0,767,3036
1746953740748757768,0,767,3036
1746953740768924768,0,767,3036
1746953740788739607,0,767,3036
1746953740809097592,0,767,3036
1746953740828818609,0,767,3036
1746953740848903943,0,767,3036
1746953740868511307,0,767,3036
1746953740888252205,0,767,3036
1746953740908253063,0,767,3036
1746953740928291840,0,767,3036
1746953740948423732,0,767,3036
1746953740968702004,0,767,3036
1746953740988718120,0,767,3036
1746953741008485648,0,767,3036
1746953741028499879,0,767,3036
1746953741048923060,0,767,3036
1746953741069001449,0,767,3036
1746953741088551764,0,767,3036
1746953741108614453,0,767,3036
1746953741128713264,0,767,3036
1746953741148601282,0,767,3036
1746953741168757172,0,767,3036
1746953741188601162,0,767,3036
1746953741208645915,0,767,3036
1746953741228517800,0,767,3036
1746953741248554496,0,767,3036
1746953741268627688,0,767,3036
1746953741288630984,0,767,3036
1746953741308594524,0,767,3036
1746953741328696834,0,767,3036
1746953741348779702,0,767,3036
1746953741368626662,0,767,3036
1746953741388666834,0,767,3036
1746953741408658533,0,767,3036
1746953741428651566,0,767,3036
1746953741448659281,0,767,3036
1746953741468849198,0,767,3036
1746953741488622974,0,767,3036
1746953741508631258,0,767,3036
1746953741528530957,0,767,3036
1746953741548723655,0,767,3036
1746953741568522538,0,767,3036
1746953741588597637,0,767,3036
1746953741608828186,0,767,3036
1746953741628550548,0,767,3036
1746953741648676617,0,767,3036
1746953741668549437,0,767,3036
1746953741688650019,0,767,3036
1746953741708529884,0,767,3036
1746953741728706971,0,767,3036
1746953741748817585,0,767,3036
1746953741768587807,0,767,3036
1746953741788825054,0,767,3036
1746953741808620478,0,767,3036
1746953741828799899,0,767,3036
1746953741848625990,0,767,3036
1746953741868803139,0,767,3036
1746953741888446654,0,767,3036
1746953741908725425,0,767,3036
1746953741928488172,0,767,3036
1746953741948655991,0,767,3036
1746953741968726947,0,767,3036
1746953741988531726,0,767,3036
1746953742008542753,0,767,3036
1746953742028668180,0,767,3036
1746953742048772997,0,767,3036
1746953742068783016,0,767,3036
1746953742088705420,0,767,3036
1746953742108519329,0,767,3036
1746953742128622568,0,767,3036
1746953742148528132,0,767,3036
1746953742168615272,0,767,3036
1746953742188746693,0,767,3036
1746953742208479174,0,767,3036
1746953742228551776,0,767,3036
1746953742248722236,0,767,3036
1746953742268548557,0,767,3036
1746953742288660814,0,767,3036
1746953742308546903,0,767,3036
1746953742328735551,0,767,3036
1746953742348556156,0,767,3036
1746953742368699868,0,767,3036
1746953742388716043,0,767,3036
1746953742408650881,0,767,3036
1746953742428557537,0,767,3036
1746953742448744128,0,767,3036
1746953742468801943,0,767,3036
1746953742488708427,0,767,3036
1746953742508577854,0,767,3036
1746953742528773908,0,767,3036
1746953742548771186,0,767,3036
1746953742568935290,0,767,3036
1746953742588896455,0,767,3036
1746953742608859896,0,767,3036
1746953742628784911,0,767,3036
1746953742648535229,0,767,3036
1746953742668499315,0,767,3036
1746953742688582417,0,767,3036
1746953742708428195,0,767,3036
1746953742728733736,0,767,3036
1746953742748646220,0,767,3036
1746953742768718976,0,767,3036
1746953742788812559,0,767,3036
1746953742808618449,0,767,3036
1746953742828574897,0,766,3036
1746953742848568881,0,766,3036
1746953742868640575,0,765,3036
1746953742888655021,0,764,3036
1746953742908349893,0,763,3036
1746953742928439414,0,762,3036
1746953742948595789,0,761,3036
1746953742968724972,0,760,3036
1746953742988437197,0,760,3036
1746953743008604639,0,760,3036
1746953743028740845,0,760,3036
1746953743048445602,0,760,3036
1746953743068401876,0,760,3036
1746953743088419491,0,760,3036
1746953743108452427,0,760,3036
1746953743128516162,0,760,3036
1746953743148510915,0,760,3036
1746953743168335868,0,760,3036
1746953743188525089,0,760,3036
1746953743208578902,0,760,3036
1746953743228585631,0,760,3036
1746953743248774804,0,759,3036
1746953743268576136,0,759,3036
1746953743288594151,0,758,3036
1746953743308535333,0,757,3036
1746953743328562671,0,756,3036
1746953743348706178,0,755,3036
1746953743368742359,0,754,3036
1746953743388501665,0,753,3036
1746953743408596793,0,751,3036
1746953743428748462,0,750,3036
1746953743448528523,0,749,3036
1746953743468531828,0,748,3036
1746953743488623150,0,747,3036
1746953743508436398,0,745,3036
1746953743528729016,0,744,3036
1746953743548760268,0,743,3036
1746953743568476178,0,742,3036
1746953743588517602,0,740,3036
1746953743608494747,0,739,3036
1746953743628727149,0,738,3036
1746953743648622187,0,735,3036
1746953743668611626,0,732,3036
1746953743688448963,0,728,3036
1746953743708575215,0,724,3036
1746953743728552563,0,720,3036
1746953743748783803,0,717,3036
1746953743768638985,0,714,3036
1746953743788622162,0,712,3036
1746953743808652505,0,710,3036
1746953743828531210,0,708,3036
1746953743848924486,0,705,3036
1746953743868702874,0,703,3036
1746953743888664574,0,701,3036
1746953743908184108,0,699,3036
1746953743928169451,0,697,3036
1746953743948433092,0,694,3036
1746953743968501141,0,692,3036
1746953743988763788,0,690,3036
1746953744008505069,0,687,3036
1746953744028884939,0,684,3036
1746953744048616730,0,679,3036
1746953744068452180,0,674,3036
1746953744088683987,0,668,3036
1746953744108604708,0,661,3036
1746953744128494006,0,653,3036
1746953744148640718,0,645,3036
1746953744168757565,0,637,3036
1746953744188551103,0,629,3036
1746953744208686180,0,621,3036
1746953744228493140,0,613,3036
1746953744248643573,0,605,3036
1746953744268518339,0,597,3036
1746953744288553592,0,589,3036
1746953744308387674,0,581,3036
1746953744328603513,0,573,3036
1746953744348579408,0,565,3036
1746953744368530899,0,557,3036
1746953744388622108,0,549,3036
1746953744408251810,0,541,3036
1746953744428747932,0,533,3036
1746953744448699749,0,525,3036
1746953744468749998,0,517,3036
1746953744488700313,0,509,3036
1746953744508698645,0,501,3036
1746953744528552002,0,493,3036
1746953744548658950,0,485,3036
1746953744568421190,0,477,3036
1746953744588647748,0,469,3036
1746953744608753266,0,461,3036
1746953744628546892,0,453,3036
1746953744648638067,0,445,3036
1746953744668623175,0,437,3036
1746953744688500974,0,429,3036
1746953744708621165,0,421,3036
1746953744728660191,0,413,3036
1746953744748815557,0,405,3036
1746953744768404251,0,397,3036
1746953744788626815,0,389,3036
1746953744808461222,0,381,3036
1746953744828678231,0,373,3036
1746953744848610235,0,365,3036
1746953744868592355,0,357,3036
1746953744888581817,0,349,3036
1746953744908734569,0,341,3036
1746953744928605715,0,333,3036
1746953744948788909,0,325,3036
1746953744968471469,0,317,3036
1746953744988529078,0,309,3036
1746953745008845106,0,301,3036
1746953745028451731,0,293,3036
1746953745048645010,0,285,3036
1746953745068558306,0,277,3036
1746953745088502698,0,269,3036
1746953745108598624,0,261,3036
1746953745128516327,0,253,3036
1746953745148439650,0,245,3036
1746953745168489494,0,237,3036
1746953745188734322,0,229,3036
1746953745208556460,0,221,3036
1746953745228763535,0,213,3036
1746953745248496381,0,205,3036
1746953745268564922,0,197,3036
1746953745288652724,0,189,3036
1746953745308674612,0,181,3036
1746953745328574802,0,173,3036
1746953745348744206,0,165,3036
1746953745368543786,0,157,3036
1746953745388733534,0,149,3036
1746953745408673674,0,141,3036
1746953745428469122,0,133,3036
1746953745448566675,0,125,3036
1746953745468472160,0,117,3036
1746953745488644938,0,109,3036
1746953745508557421,0,101,3036
1746953745528473898,0,93,3036
1746953745548696148,0,85,3036
1746953745568445042,0,77,3036
1746953745588720609,0,69,3036
1746953745608541180,0,61,3036
1746953745628638375,0,53,3036
1746953745648521881,0,45,3036
1746953745668424123,0,37,3036
1746953745688516732,0,29,3036
1746953745708494453,0,21,3036
1746953745728584557,0,13,3036
1746953745748572719,0,5,3036
1746953745768672659,0,-2,3036
1746953745788571028,0,-10,3036
1746953745808720593,0,-18,3036
1746953745828708419,0,-26,3036
1746953745848690900,0,-34,3036
1746953745868433443,0,-42,3036
1746953745888584503,0,-50,3036
1746953745908368734,0,-58,3036
1746953745928475845,0,-66,3036
1746953745948535987,0,-74,3036
1746953745968686797,0,-82,3036
1746953745988742552,0,-90,3036
1746953746008587949,0,-98,3036
1746953746028809112,0,-106,3036
1746953746048549515,0,-114,3036
1746953746068957412,0,-122,3036
1746953746088599735,0,-130,3036
1746953746108452324,0,-138,3036
1746953746128428928,0,-146,3036
1746953746148704946,0,-154,3036
1746953746168856310,0,-162,3036
1746953746188659311,0,-170,3036
