time,csv1_field.data4,csv1_field.data7,csv2_field.data4,csv2_field.data7
1752634536438149698,0,0,2.916260787724504,2.104489791847739
1752634536440076156,0,0,2.916260787724504,2.104489791847739
1752634536442135323,0,0,2.395901789335743,2.6909475327677805
1752634536444348815,0,0,2.395901789335743,2.6909475327677805
1752634536446106895,0,0,1.96710904634688,2.6909475327677805
1752634536448211650,0,0,1.96710904634688,2.6909475327677805
1752634536450154596,-1,0,2.916260787724504,2.883995511817355
1752634536452045887,-1,0,2.916260787724504,2.883995511817355
1752634536454042974,-1,0,2.916260787724504,2.883995511817355
1752634536456143329,-1,1,2.395901789335743,2.287090640839104
1752634536458069119,-1,1,2.395901789335743,2.287090640839104
1752634536460151674,-1,1,1.96710904634688,2.104489791847739
1752634536461962129,0,1,1.96710904634688,2.104489791847739
1752634536464170908,0,2,2.395901789335743,2.883995511817355
1752634536466016092,-1,2,2.395901789335743,2.883995511817355
1752634536468147234,-1,2,2.395901789335743,6.290188884442937
1752634536470081031,-1,2,2.395901789335743,6.290188884442937
1752634536471965884,-1,2,2.395901789335743,3.0973423253926358
1752634536473955633,0,2,2.395901789335743,3.0973423253926358
1752634536476082994,-1,3,0.7217126263511766,3.0973423253926358
1752634536478039730,0,3,0.7217126263511766,3.0973423253926358
1752634536479937127,-1,3,2.395901789335743,2.883995511817355
1752634536482056711,-1,4,2.395901789335743,2.883995511817355
1752634536483949985,-1,3,2.916260787724504,2.883995511817355
1752634536485973112,-1,4,2.916260787724504,2.883995511817355
1752634536487893624,-1,4,2.395901789335743,3.0973423253926358
1752634536489961395,-1,4,2.395901789335743,3.0973423253926358
1752634536491880650,-1,4,2.916260787724504,2.883995511817355
1752634536493946002,-1,5,2.916260787724504,2.883995511817355
1752634536496845205,-1,5,2.916260787724504,5.901440965360633
1752634536498908033,-1,5,2.916260787724504,5.901440965360633
1752634536500847920,-1,5,2.916260787724504,2.883995511817355
1752634536502897470,-1,5,2.916260787724504,2.883995511817355
1752634536504864227,-1,5,0.9114435549014296,2.883995511817355
1752634536506872518,-1,5,0.9114435549014296,2.883995511817355
1752634536508795465,-1,5,2.916260787724504,2.883995511817355
1752634536510857486,-1,5,2.916260787724504,2.883995511817355
1752634536512844257,-1,5,3.4417559938476923,2.6909475327677805
1752634536514838948,0,5,3.4417559938476923,2.6909475327677805
1752634536516803450,0,5,2.916260787724504,3.0973423253926358
1752634536518846418,0,5,2.916260787724504,3.0973423253926358
1752634536520839413,0,5,2.916260787724504,2.883995511817355
1752634536522859867,-1,6,2.916260787724504,2.883995511817355
1752634536524863839,0,6,3.4417559938476923,3.0973423253926358
1752634536526889649,0,6,3.4417559938476923,3.0973423253926358
1752634536528813837,0,6,2.916260787724504,3.315060768515024
1752634536530853734,-1,6,2.916260787724504,3.315060768515024
1752634536532810042,-1,6,2.916260787724504,2.883995511817355
1752634536534848576,0,6,2.916260787724504,2.883995511817355
1752634536536839346,0,6,3.4417559938476923,3.0973423253926358
1752634536538814338,0,6,3.4417559938476923,3.0973423253926358
1752634536540797749,0,6,2.916260787724504,3.315060768515024
1752634536542831225,0,6,2.916260787724504,3.315060768515024
1752634536544760118,0,6,3.4417559938476923,3.0973423253926358
1752634536546818179,0,6,3.4417559938476923,3.0973423253926358
1752634536548773363,0,6,3.4417559938476923,3.0973423253926358
1752634536550790459,0,6,3.4417559938476923,3.0973423253926358
1752634536552779504,0,6,3.666555437720555,3.0973423253926358
1752634536554787355,0,6,3.666555437720555,3.0973423253926358
1752634536556760410,0,6,2.916260787724504,3.0973423253926358
1752634536558766885,1,6,2.916260787724504,3.0973423253926358
1752634536560802549,1,6,8.223929914466353,3.0973423253926358
1752634536562754596,1,6,8.223929914466353,3.0973423253926358
1752634536564763005,1,6,2.916260787724504,3.0973423253926358
1752634536566768143,1,6,2.916260787724504,3.0973423253926358
1752634536568750024,2,6,0.0,3.0973423253926358
1752634536570752135,2,6,0.0,3.0973423253926358
1752634536572780019,2,6,1.7986872701421854,2.6909475327677805
1752634536574739420,2,6,1.7986872701421854,2.6909475327677805
1752634536576769528,3,6,2.395901789335743,3.315060768515024
1752634536578747188,3,6,2.395901789335743,3.315060768515024
1752634536580779509,3,6,2.395901789335743,3.315060768515024
1752634536582813587,3,6,1.96710904634688,2.883995511817355
1752634536584761268,3,6,1.96710904634688,2.883995511817355
1752634536586777628,3,6,1.7986872701421854,2.883995511817355
1752634536588755081,3,6,1.7986872701421854,2.883995511817355
1752634536590798339,3,6,2.916260787724504,2.287090640839104
1752634536592737768,3,6,2.916260787724504,2.287090640839104
1752634536594813555,4,6,4.7728082414156745,3.315060768515024
1752634536596781306,3,6,4.7728082414156745,3.315060768515024
1752634536598806875,3,6,1.96710904634688,2.6909475327677805
1752634536600753391,3,6,1.96710904634688,2.6909475327677805
1752634536602737070,3,6,2.395901789335743,2.6909475327677805
1752634536604719759,3,6,2.395901789335743,2.6909475327677805
1752634536606710779,3,6,2.395901789335743,2.6909475327677805
1752634536608697489,3,6,2.395901789335743,2.6909475327677805
1752634536610706550,4,6,2.395901789335743,2.883995511817355
1752634536612690963,4,6,2.395901789335743,2.883995511817355
1752634536614787109,4,6,3.666555437720555,2.6909475327677805
1752634536616691621,4,6,3.666555437720555,2.6909475327677805
1752634536618701979,5,6,1.96710904634688,2.287090640839104
1752634536620675690,5,6,1.96710904634688,2.287090640839104
1752634536622707642,5,6,2.395901789335743,1.7731418339349971
1752634536624825879,5,6,2.395901789335743,1.7731418339349971
1752634536626663832,5,6,1.819428457964233,2.845415698307659
1752634536628750154,6,6,1.7986872701421854,2.883995511817355
1752634536630643010,6,6,1.9485264499410877,2.7122472290568886
1752634536632639562,5,6,1.96710904634688,2.6909475327677805
1752634536634599638,6,6,1.8179380313777034,2.6909475327677805
1752634536636696228,6,6,1.7986872701421854,2.6909475327677805
1752634536638606049,5,6,1.157511762606414,2.867993958536949
1752634536640687360,5,6,1.0995619677921344,2.883995511817355
1752634536642620919,5,7,1.0995619677921344,2.6940742241734945
1752634536644630289,5,6,1.0995619677921344,2.6909475327677805
1752634536646631982,5,6,1.9410527333031384,2.6909475327677805
1752634536648586460,5,6,1.96710904634688,2.6909475327677805
1752634536650597154,5,6,1.96710904634688,2.6909475327677805
1752634536652707602,5,7,1.96710904634688,2.6909475327677805
1752634536654575427,5,7,1.8120434109983183,1.8459254280070234
1752634536656711626,5,7,1.7986872701421854,1.7731418339349971
1752634536658557649,5,7,6.260035070279237,2.2200191238324574
1752634536660651539,5,7,6.929635812169968,2.287090640839104
1752634536662569014,5,7,2.5948210893022106,2.287090640839104
1752634536664615632,5,7,1.96710904634688,2.287090640839104
1752634536666584736,5,7,1.96710904634688,2.287090640839104
1752634536668665783,5,7,1.7986872701421854,2.104489791847739
1752634536670671798,5,7,1.7986872701421854,2.104489791847739
1752634536672622929,5,7,1.96710904634688,2.104489791847739
1752634536674637304,5,8,1.96710904634688,2.104489791847739
1752634536676558879,5,8,2.395901789335743,2.287090640839104
1752634536678647171,5,8,2.395901789335743,2.287090640839104
1752634536680579709,5,8,1.96710904634688,2.883995511817355
1752634536682643794,5,8,1.96710904634688,2.883995511817355
1752634536684608979,5,8,1.96710904634688,2.6909475327677805
1752634536686578955,5,8,1.96710904634688,2.6909475327677805
1752634536688593686,5,8,2.395901789335743,1.828946590416528
1752634536690574363,5,8,2.395901789335743,1.828946590416528
1752634536692536676,5,9,2.916260787724504,2.883995511817355
1752634536694561236,5,9,2.916260787724504,2.883995511817355
1752634536696525428,5,9,1.96710904634688,2.6909475327677805
1752634536698570473,5,9,1.96710904634688,2.6909475327677805
1752634536700544609,5,9,1.96710904634688,2.6909475327677805
1752634536702556675,5,9,1.96710904634688,2.6909475327677805
1752634536704530796,5,9,3.8868884518697127,3.315060768515024
1752634536706520978,5,9,3.8868884518697127,3.315060768515024
1752634536708535678,5,9,3.1101919033949788,2.9701222205917013
1752634536710555879,5,9,2.916260787724504,2.883995511817355
1752634536712534548,5,9,2.916260787724504,2.883995511817355
1752634536714565758,5,9,2.916260787724504,2.883995511817355
1752634536716609092,5,9,2.916260787724504,2.768150822577145
1752634536718513672,5,9,2.916260787724504,2.6909475327677805
1752634536720498950,5,9,2.916260787724504,2.81241751664846
1752634536722508677,5,9,2.916260787724504,2.883995511817355
1752634536724491223,5,9,2.5685595888011257,2.883995511817355
1752634536726423188,5,9,2.395901789335743,2.883995511817355
1752634536728490962,6,9,2.0661926283921153,2.7355562291218654
1752634536730501566,6,9,1.96710904634688,2.6909475327677805
1752634536732448232,6,9,2.269145011373432,0.7954795049507946
1752634536734451909,6,9,2.395901789335743,0.0
1752634536736434707,6,9,2.1188457858465033,1.477758667629747
1752634536739260084,6,9,1.96710904634688,2.287090640839104
1752634536740448434,6,9,2.245924462519711,2.54969193071281
1752634536742448925,6,9,2.395901789335743,2.6909475327677805
1752634536744422480,6,9,2.395901789335743,2.6909475327677805
1752634536746427084,6,9,2.395901789335743,2.6909475327677805
1752634536748400874,6,9,2.395901789335743,2.4511450446186207
1752634536750367145,6,9,2.395901789335743,2.287090640839104
1752634536752356405,6,10,2.395901789335743,2.287090640839104
1752634536754452972,6,10,2.395901789335743,2.287090640839104
1752634536756378177,6,10,2.395901789335743,2.287090640839104
1752634536758366626,6,10,2.395901789335743,2.883995511817355
1752634536760404986,6,10,2.395901789335743,2.883995511817355
1752634536762359730,6,10,2.395901789335743,2.6909475327677805
1752634536764396519,6,10,2.395901789335743,2.6909475327677805
